"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.99379952358298
"2","0","0",0.996057788058712
"3","0","0",0.999999991571924
"4","0","0",0.991878924484584
"5","0","0",0.775771647261864
"10","0","0",0.996826412531558
"12","0","0",0.992491648413112
"1","1","0",0.968087738514669
"2","1","0",0.97951744197338
"3","1","0",0.999999955470785
"4","1","0",0.958535203296416
"5","1","0",0.395707341721795
"10","1","0",0.983457425991115
"12","1","0",0.961566183873719
"1","0","1",0.765863354278343
"2","0","1",0.837569332855753
"3","0","1",0.999999587028467
"4","0","1",0.713680680179097
"5","0","1",0.0659509750942009
"10","0","1",0.865052396524465
"12","0","1",0.729560157123672
"1","1","1",0.382375373905037
"2","1","1",0.493919260600928
"3","1","1",0.999997818094514
"4","1","1",0.320549208549553
"5","1","1",0.0131877137277661
"10","1","1",0.54818166268266
"12","1","1",0.338007798315149
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
