"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","04-12","05-01","05-03"
"04-05","1","1","1",0,0,0
"04-06","1","1","1",0,0,0
"04-07","1","1","1",0,0,0
"04-11","1","1","1",0,0,0
"05-02","1","1","1",0,0,0
"05-03","1","1","1",0,0,0
"05-04","1","1","1",0,0,0
"05-05","1","1","1",0,0,0
"05-06","1","1","1",0,0,0
"05-07","1","1","1",0,0,0
