"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","1","0","0","0",1.29978675920483
"1","1","0","0","0",1.60866616779733
"0","2","0","0","0",1.35192721284355
"1","2","0","0","0",1.67319720194445
"0","3","0","0","0",1.21640597984913
"1","3","0","0","0",1.50547090300163
"0","4","0","0","0",1.16177939920212
"1","4","0","0","0",1.4378629422904
"0","5","0","0","0",0.807990361968371
"1","5","0","0","0",1.00000000000001
"0","10","0","0","0",1.07726473991605
"1","10","0","0","0",1.33326434400987
"0","11","0","0","0",1.4517521106831
"1","11","0","0","0",1.79674434128948
"0","12","0","0","0",1.53548615067039
"1","12","0","0","0",1.90037681505229
"0","1","1","0","0",0.970164482559558
"1","1","1","0","0",1.20071293944165
"0","2","1","0","0",1.00908226339291
"1","2","1","0","0",1.24887908431812
"0","3","1","0","0",0.907928834991858
"1","3","1","0","0",1.12368770436819
"0","4","1","0","0",0.86715540198672
"1","4","1","0","0",1.07322493287447
"0","5","1","0","0",0.603086272329558
"1","5","1","0","0",0.746402804682428
"0","10","1","0","0",0.804073423258821
"1","10","1","0","0",0.995152245752039
"0","11","1","0","0",1.08359184711749
"1","11","1","0","0",1.34109501563574
"0","12","1","0","0",1.14609116941139
"1","12","1","0","0",1.41844658470848
"0","1","0","1","0",1.259688560878
"1","1","0","1","0",1.55903909275507
"0","2","0","1","0",1.31022049047534
"1","2","0","1","0",1.62157935557979
"0","3","0","1","0",1.17888006424758
"1","3","0","1","0",1.45902738415801
"0","4","0","1","0",1.12593870423326
"1","4","0","1","0",1.39350511742533
"0","5","0","1","0",0.783063998046809
"1","5","0","1","0",0.969150171716365
"0","10","0","1","0",1.04403130767362
"1","10","0","1","0",1.29213336794046
"0","11","0","1","0",1.40696580735811
"1","11","0","1","0",1.7413150868911
"0","12","0","1","0",1.48811666659029
"1","12","0","1","0",1.84175051663371
"0","1","1","1","0",0.940235074865706
"1","1","1","1","0",1.16367115144193
"0","2","1","1","0",0.977952248843173
"1","2","1","1","0",1.21035137901987
"0","3","1","1","0",0.879919386338591
"1","3","1","1","0",1.08902213164399
"0","4","1","1","0",0.840403806740196
"1","4","1","1","0",1.04011612798557
"0","5","1","1","0",0.584481164387969
"1","5","1","1","0",0.723376406327546
"0","10","1","1","0",0.779267896223846
"1","10","1","1","0",0.964451969854507
"0","11","1","1","0",1.05016322470436
"1","11","1","1","0",1.29972246469133
"0","12","1","1","0",1.11073445363765
"1","12","1","1","0",1.3746877511407
"0","1","0","0","1",1.09924708872112
"1","1","0","0","1",1.36047054576644
"0","2","0","0","1",1.1433429694193
"1","2","0","0","1",1.41504530652318
"0","3","0","0","1",1.02873084571975
"1","3","0","0","1",1.27319692677229
"0","4","0","0","1",0.982532414078742
"1","4","0","0","1",1.2160199679674
"0","5","0","0","1",0.683328281980517
"1","5","0","0","1",0.845713407169665
"0","10","0","0","1",0.91105723361814
"1","10","0","0","1",1.12755953103041
"0","11","0","0","1",1.22776622389155
"1","11","0","0","1",1.51953077868473
"0","12","0","0","1",1.29858122414528
"1","12","0","0","1",1.60717415116409
"0","1","1","0","1",0.820481110060432
"1","1","1","0","1",1.01545903104789
"0","2","1","0","1",0.853394399088492
