"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"11-12","1","1","1","0",2.45739340557193e-07,3
"1-2-3","2","1","1","0",0.561362916688965,0
"4","2","1","1","0",0.422938113440943,1
"5-6","2","1","1","0",0.545203024693404,3
"7-8-9","2","1","1","0",0.333985895068793,2
"10","2","1","1","0",0.224671966104562,0
"11-12","2","1","1","0",4.3629902375141e-07,0
"1-2-3","3","1","1","0",0.495873578897205,0
"4","3","1","1","0",0.360331660446893,0
"5-6","3","1","1","0",0.479537897800975,1
"7-8-9","3","1","1","0",0.278198883811977,0
"10","3","1","1","0",0.182150348401954,0
"11-12","3","1","1","0",3.35333868987778e-07,0
"1-2-3","4","1","1","0",5.17790769176155e-07,0
"4","4","1","1","0",2.96531242635361e-07,0
"5-6","4","1","1","0",4.85016632584237e-07,0
"7-8-9","4","1","1","0",2.02890057348019e-07,1
"10","4","1","1","0",1.17240996600799e-07,0
"11-12","4","1","1","0",1.76522709323903e-13,0
"1-2-3","5","1","1","0",0.899014354230281,0
"4","5","1","1","0",0.836019132411142,0
"5-6","5","1","1","0",0.892921123883002,0
"7-8-9","5","1","1","0",0.77719828466868,3
"10","5","1","1","0",0.668405145993998,1
"11-12","5","1","1","0",3.03495123095198e-06,0
"1-2-3","6","1","1","0",5.08287389297709e-07,0
"4","6","1","1","0",2.91088794016296e-07,0
"5-6","6","1","1","0",4.7611477930779e-07,0
"7-8-9","6","1","1","0",1.99166271604147e-07,0
"10","6","1","1","0",1.15089188896901e-07,0
"11-12","6","1","1","0",1.73282861654871e-13,0
"1-2-3","1","0","0","1",0.290741253553201,2
"4","1","0","0","1",0.190123859048273,2
"5-6","1","0","0","1",0.277444206288481,119
"7-8-9","1","0","0","1",0.138393927361491,63
"10","1","0","0","1",0.0849336104793218,5
"11-12","1","0","0","1",1.39748756940726e-07,5
"1-2-3","2","0","0","1",0.421229052230461,0
"4","2","0","0","1",0.294184048690979,0
"5-6","2","0","0","1",0.405375061401149,1
"7-8-9","2","0","0","1",0.221898422187365,0
"10","2","0","0","1",0.141477757920649,0
"11-12","2","0","0","1",2.48117583032601e-07,0
"1-2-3","3","0","0","1",0.358718322588066,0
"4","3","0","0","1",0.242623393541273,0
"5-6","3","0","0","1",0.343819426365109,0
"7-8-9","3","0","0","1",0.179780010720418,0
"10","3","0","0","1",0.112418547706139,0
"11-12","3","0","0","1",1.90700003734977e-07,0
"1-2-3","4","0","0","1",2.9446088963382e-07,0
"4","4","0","0","1",1.68633452691178e-07,0
"5-6","4","0","0","1",2.75822659655211e-07,0
"7-8-9","4","0","0","1",1.15380926479709e-07,0
"10","4","0","0","1",6.66734214889529e-08,0
"11-12","4","0","0","1",1.00386151151981e-13,0
"1-2-3","5","0","0","1",0.835056355039133,0
"4","5","0","0","1",0.743545074120347,0
"5-6","5","0","0","1",0.825851595412876,0
"7-8-9","5","0","0","1",0.664851063568963,0
"10","5","0","0","1",0.534085878678489,0
"11-12","5","0","0","1",1.72593924594844e-06,0
"1-2-3","6","0","0","1",2.89056439663655e-07,0
"4","6","0","0","1",1.65538402709941e-07,0
"5-6","6","0","0","1",2.7076029027274e-07,0
"7-8-9","6","0","0","1",1.132632579667e-07,0
"10","6","0","0","1",6.54497165283458e-08,0
"11-12","6","0","0","1",9.85436922465032e-14,0
"1-2-3","1","1","0","1",0.312803596248908,2
"4","1","1","0","1",0.206776994397114,0
"5-6","1","1","0","1",0.298922788011947,9
"7-8-9","1","1","0","1",0.151362828336105,2
"10","1","1","0","1",0.093436022251683,2
"11-12","1","1","0","1",1.55180393120098e-07,1
"1-2-3","2","1","0","1",0.44695338647123,0
