"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"1","1","0","0","0",0.0637568221143126,0.131600181613584,0.120968462830075,0.27417993317062,0.258420168225794,0.101340196459815,0.0349296255160956,0.00978158895168246,0.00502302111802189
"3","1","0","0","0",0.00337778148519248,0.00856134198095973,0.0105700949169401,0.0444541625494075,0.151583480281466,0.268879430746348,0.280661965960252,0.139818024828647,0.092093717250788
"4","1","0","0","0",0.021515099730705,0.0511791320016732,0.0572828252674642,0.187715501053141,0.326990258194547,0.215834930098356,0.0950121988550312,0.0290756454903577,0.0153944093087242
"5","1","0","0","0",0.00676277637605132,0.0169369432386454,0.0205161930589905,0.0817969248995412,0.233716729155834,0.296674724088691,0.212938960823986,0.0825921406843346,0.0480646076739256
"6","1","0","0","0",0.00371248896006567,0.00939853278486513,0.0115816858997499,0.0484437595007929,0.162035242387129,0.275954918711892,0.273420942355992,0.130986067569549,0.084466361829965
"7","1","0","0","0",0.00167517045755191,0.00427164563184492,0.00532543397341343,0.0230409426261578,0.0873080913715934,0.198477783705331,0.301075497588878,0.208782542372552,0.170042892272678
"8","1","0","0","0",0.00116438237886429,0.00297454792670798,0.00371925231319656,0.0162324816077019,0.0636609944239925,0.158713947858758,0.286063632382588,0.239725663383414,0.227745097724777
"9","1","0","0","0",0.00308199449729192,0.00781983963073757,0.00967087002778417,0.0408700777968904,0.141808927592723,0.261247039487225,0.28681080949631,0.148615800974204,0.100074640496834
"1","2","0","0","0",0.0688722348501519,0.139805471355319,0.125788256871096,0.27586669318546,0.248890722149527,0.0948065217039363,0.0323239405025311,0.00901978051091479,0.00462637887106332
"3","2","0","0","0",0.00366776978232601,0.00928679383026089,0.011446895117229,0.0479147354234634,0.160674744546302,0.27509591484869,0.274397551199704,0.132103831557262,0.0854117636947629
"4","2","0","0","0",0.0233257636041505,0.0551408594088972,0.0611466196251159,0.196259695570953,0.327509287029294,0.206764030313095,0.0887666324820918,0.0268966399840747,0.0141904719823275
"5","2","0","0","0",0.00734123160529327,0.0183481778053541,0.0221542053878793,0.0875572497644647,0.243578531576422,0.295818605658686,0.203650587044281,0.0771304804634038,0.0444209306942159
"6","2","0","0","0",0.00403109623737207,0.0101936024080242,0.0125387789494442,0.0521775077443889,0.171421540299595,0.281387081570353,0.266440833882477,0.123519461492482,0.0782900974158647
"7","2","0","0","0",0.00181925352157427,0.00463667814367536,0.00577574211870202,0.0249283387789868,0.0935710638860918,0.207617795462006,0.302072230608202,0.200885078521535,0.158693818959227
"8","2","0","0","0",0.00126458770706581,0.00322938216116685,0.00403555911715479,0.0175827686118053,0.0684854360555095,0.167538177478287,0.290902963683697,0.233425432481995,0.213535692703318
"9","2","0","0","0",0.00334667425028183,0.0084834333273619,0.0104757584712476,0.0440798305271235,0.150579875935214,0.268141662152233,0.281323296541062,0.140696611427035,0.092872857368441
"1","3","0","0","0",0.234624676420651,0.28757317657656,0.153420916360052,0.190894448707705,0.0954571757818096,0.026536724608361,0.00816578030056092,0.00220687960399168,0.00112022164030889
"3","3","0","0","0",0.0150274860023332,0.0365603251970852,0.0423356060725437,0.150260071182327,0.313129774773536,0.253317573614643,0.126511811358182,0.0408204659667957,0.0220368858325544
"4","3","0","0","0",0.0900659033330523,0.170775201996573,0.141254304948139,0.274905607733717,0.213918431255205,0.0743241481169283,0.0245235863006226,0.00677156060321105,0.00346125571255174
"5","3","0","0","0",0.0297387002626507,0.0687716316612565,0.0738447474997788,0.221231222550612,0.323059038174704,0.179185084501141,0.0718611146012836,0.0212163919884933,0.0110920687600801
"6","3","0","0","0",0.0164974645276253,0.0399317444273664,0.0458801101921754,0.159795092639996,0.31845844878539,0.244196811245928,0.117742275684116,0.0374146468458716,0.0200834056515304
"7","3","0","0","0",0.0074968746693899,0.0187269049625921,0.0225919500854483,0.0890786435031434,0.246072132244644,0.295452544158968,0.201268422027928,0.0757802000651638,0.0435323282827221
"8","3","0","0","0",0.0052202317376072,0.0131451707107895,0.0160612554735066,0.065582262994399,0.202161942302093,0.293357555839755,0.241286901651182,0.101699789621335,0.0614848896693322
"9","3","0","0","0",0.0137256023736891,0.0335449831667649,0.0391153768887395,0.141230779811674,0.306909770217365,0.261586530048984,0.135391184033898,0.0443879420050677,0.0241078314538189
"1","5","0","0","0",0.334798188046255,0.307342268909057,0.131595176366999,0.140484853743433,0.0622671421099292,0.0164807715471097,0.00500251163459975,0.00134649163599787,0.000682596006620462
"3","5","0","0","0",0.0244370053264584,0.0575472661423957,0.0634551900884677,0.201150596865905,0.327354800861182,0.201494266589888,0.0853116846779056,0.0257104774771794,0.0135387119706184
"4","5","0","0","0",0.139792574195492,0.227050343196114,0.157905561837787,0.250090645213677,0.155763550039025,0.0479365368357452,0.0152032215447322,0.00414655232127858,0.00211101481614873
"5","5","0","0","0",0.0479116334726816,0.104208232251894,0.102673095355429,0.26109034588008,0.290034250068211,0.127942126669233,0.0462103758528132,0.0131446352815776,0.00678530516807974
"6","5","0","0","0",0.0268023705107939,0.0626070108858388,0.068215402251377,0.210738978718107,0.326063819820265,0.190988515294993,0.0787580990882064,0.0234967402595497,0.0123290631708687
"7","5","0","0","0",0.0122497147576078,0.0300928118170021,0.0353701405862122,0.130279123313304,0.297775618528268,0.270998824835354,0.147008351466154,0.0492520040975051,0.0269734105985932
"8","5","0","0","0",0.00854215674252272,0.0212595771123326,0.0254993278378503,0.0989933454663951,0.261232109794511,0.291851649315374,0.186457859148077,0.0677928795644149,0.0383710950185228
