"Burst_Month","Position_A","Position_Ancestor_A","11","12","1","2","3","4"
"9-10","0","0",0.14647795413869,0.84066159637258,0.0126310837160238,0.000220767192426363,2.85868585359061e-06,5.73989442664846e-06
"11","0","0",0.000109706508550008,0.0466680194636099,0.689141911615967,0.250809295804319,0.00437286700382211,0.00889819960373206
"12","0","0",4.31521559784977e-06,0.00192201994470667,0.0968496504773733,0.646399067918855,0.0689744557007977,0.18585049074267
"9-10","1","0",0.133084455768197,0.852560482288259,0.0140986585050945,0.000246791006246583,3.19574911933351e-06,6.41668308298815e-06
"11","1","0",9.81364716247618e-05,0.0419532349330879,0.671645314574107,0.27149063004792,0.00487572024229166,0.00993696373096797
"12","1","0",3.86007476904826e-06,0.00171964719697201,0.0875644179760013,0.634150340228712,0.0732527967209203,0.203308937802625
"9-10","0","1",0.169838939197959,0.819350710396443,0.0106179405666376,0.000185196938071619,2.39800480295038e-06,4.81489608639141e-06
"11","0","1",0.000130779787717182,0.0551368821438862,0.713362906246469,0.220213181478073,0.003681305885465,0.00747494445838925
"12","0","1",5.1442199150968e-06,0.00229041524756734,0.113263698428045,0.66152754523311,0.0621996852038029,0.160713511667559
"9-10","1","1",0.154696532989468,0.833233848898894,0.0118545260397542,0.000207028702135847,2.68075060250172e-06,5.38261914562188e-06
"11","1","1",0.000116987548167401,0.0496112595989561,0.698490281902971,0.239326167321699,0.00410634435289381,0.00834895927531254
"12","1","1",4.60164151401039e-06,0.00204933353573407,0.102592317234224,0.652538867725059,0.0664928457860372,0.176322034077432
