"Nb_Inflorescences","Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"1","12","0","0",0.18817002627164,5
"2","12","0","0",0.153805815057372,0
"3","12","0","0",0.18045343677053,0
"4","12","0","0",0.280393051189752,0
"5","12","0","0",0.192507413964555,0
"6","12","0","0",0.452228846506099,0
"1","1","0","0",0.124360732406654,8
"2","1","0","0",0.101649578245396,2
"3","1","0","0",0.119260872768785,0
"4","1","0","0",0.185310518888679,0
"5","1","0","0",0.127227292617704,0
"6","1","0","0",0.298876030796362,0
"1","2","0","0",0.143170538375186,26
"2","2","0","0",0.117024277369286,1
"3","2","0","0",0.137299314912107,0
"4","2","0","0",0.213339100232395,0
"5","2","0","0",0.146470671469923,0
"6","2","0","0",0.344081619724074,0
"1","3","0","0",0.272113170202224,6
"2","3","0","0",0.222418993928292,0
"3","3","0","0",0.260954189816766,0
"4","3","0","0",0.405477129241476,0
"5","3","0","0",0.278385477959738,0
"6","3","0","0",0.65396932507213,0
"1","4","0","0",0.137458094715686,6
"2","4","0","0",0.112355058416474,0
"3","4","0","0",0.131821130574572,0
"4","4","0","0",0.204826960763782,0
"5","4","0","0",0.140626553901904,0
"6","4","0","0",0.330352909269745,0
"1","12","1","0",0.504024022026879,8
"2","12","1","0",0.411977545267648,1
"3","12","1","0",0.483354702083938,2
"4","12","1","0",0.751048592643721,4
"5","12","1","0",0.515641959449691,5
"6","12","1","0",1.21132045633844,3
"1","1","1","0",0.333107231644454,11
"2","1","1","0",0.272274125054431,3
"3","1","1","0",0.319446970138507,5
"4","1","1","0",0.496364670318574,1
"5","1","1","0",0.340785474750346,0
"6","1","1","0",0.800556295357839,2
"1","2","1","0",0.383490357191339,28
"2","2","1","0",0.313456123289845,17
"3","2","1","0",0.367763954199781,6
"4","2","1","0",0.571440805346442,2
"5","2","1","0",0.392329949705569,3
"6","2","1","0",0.921642013422988,3
"1","3","1","0",0.728870464703125,2
"2","3","1","0",0.595761812421055,0
"3","3","1","0",0.698980506737777,0
"4","3","1","0",1.08609334637162,0
"5","3","1","0",0.745671194585411,0
"6","3","1","0",1.75169369976719,0
"1","4","1","0",0.368189254853674,8
"2","4","1","0",0.300949357132926,0
"3","4","1","0",0.353090328660594,0
"4","4","1","0",0.548640559972448,0
"5","4","1","0",0.37667615138182,0
"6","4","1","0",0.884868888619122,0
"1","12","0","1",0.117411604720314,1
"2","12","0","1",0.0959695224527034,0
"3","12","0","1",0.112596719086056,0
"4","12","0","1",0.174955590669308,0
"5","12","0","1",0.12011798500526,0
"6","12","0","1",0.282175198787759,0
