"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","11","12","1","2","3","4"
"9-10","0","0","0",0.163688802783043,0.799268984054664,0.0357546063300274,0.00126633948582811,8.11601892392044e-06,1.31513275136719e-05
"11","0","0","0",0.000813907216181374,0.0968138897009049,0.665854211261044,0.231433689487804,0.00193417864456724,0.00315012368949796
"12","0","0","0",2.03211401505956e-05,0.00267149591843002,0.0718372659830106,0.755456011159447,0.0575872326778321,0.11242767312113
"9-10","1","0","0",0.142190234394446,0.814361694001447,0.041928033539296,0.0014949259139021,9.58324575250913e-06,1.55289051564367e-05
"11","1","0","0",0.000689376930172705,0.0832453927804631,0.648239582439418,0.261827673136945,0.00228046065211163,0.00371751406088905
"12","1","0","0",1.72098523989757e-05,0.00226340680185623,0.0615659791839399,0.741388147310133,0.0646564537295551,0.130108803122117
"9-10","0","1","0",0.158541199573845,0.80303373726648,0.0370875337483334,0.001315436409701,8.43110015524839e-06,1.3661901485551e-05
"11","0","1","0",0.000783513225642049,0.0935398282661309,0.662211810525986,0.23818419743872,0.00200862809985258,0.00327202244366875
"12","0","1","0",1.95617013022619e-05,0.00257191587645625,0.0693526495828313,0.752598508518219,0.059172417229811,0.11628494709138
"9-10","1","1","0",0.137607465122698,0.817333661442034,0.0434799153077313,0.00155287105973689,9.95528546576807e-06,1.61317823333951e-05
"11","1","1","0",0.000663630224227389,0.0803885287571424,0.643587436413611,0.269131017936571,0.00236810287950628,0.00386128378894168
"12","1","1","0",1.65666862412642e-05,0.00217900454366538,0.0594119141666189,0.737584190170459,0.0663275388907104,0.134480785542306
"9-10","0","0","1",0.18411636364043,0.783596963441909,0.0311696955849037,0.00109853136582505,7.03933978474236e-06,1.14066271477142e-05
"11","0","0","1",0.000938283201518207,0.109966246201919,0.677309790767035,0.207372909781702,0.00167941507534786,0.00273335497247829
"12","0","0","1",2.34293276797632e-05,0.00307884265024468,0.0818580293114759,0.76417710385943,0.0518736934124419,0.0989889014387273
"9-10","1","0","1",0.160449607255904,0.801647886156376,0.0365838583906986,0.00129686747591007,8.31192970496275e-06,1.34687914069564e-05
"11","1","0","1",0.000794738146591066,0.0947517757136468,0.663601173533266,0.235645916097079,0.00198047531036327,0.00322592119905341
"12","1","0","1",1.984216732303e-05,0.00260869380841544,0.0702719127867361,0.753692229092032,0.0585773309584301,0.114829991187063
"9-10","0","1","1",0.178463447880288,0.788038385981908,0.0323378741190404,0.00114112992801774,7.31262332298588e-06,1.18494674222758e-05
"11","0","1","1",0.00090324879849754,0.10630082911714,0.674582186445267,0.213630431493043,0.00174413197569545,0.00283917217035656
"12","0","1","1",2.2553732695436e-05,0.00296412457188097,0.0790589463880486,0.762147326845312,0.0533687290718203,0.102438319390243
"9-10","1","1","1",0.155384942402798,0.805298896027361,0.0379463889209957,0.00134714634240496,8.63461633404672e-06,1.39916901066295e-05
"11","1","1","1",0.000765059444481087,0.091540239118145,0.659809560748286,0.242477706501254,0.00205669099557049,0.00335074319226381
"12","1","1","1",1.91006282392689e-05,0.00251144873076045,0.0678371358543442,0.750697349455417,0.0601763072589676,0.118758658072272
"9-10","0","0","2",0.071997827480654,0.839542333117359,0.0852178378048357,0.00318835033999842,2.04739175846402e-05,3.31773395678692e-05
"11","0","0","2",0.000322780769030875,0.0407988782394184,0.520193397223129,0.42595687433103,0.00481891688636582,0.00790915255102642
"12","0","0","2",8.05513338686587e-06,0.0010606824980996,0.0298652358552704,0.628361728311149,0.098533629350177,0.242170668851917
"9-10","1","0","2",0.06165398283527,0.835537784039623,0.0989823559104057,0.00376252701809177,2.41749959564164e-05,3.91752006533297e-05
"11","1","0","2",0.000273373767990805,0.0347728595178792,0.485022491638685,0.464936615576272,0.00566895434726422,0.00932570515190856
"12","1","0","2",6.82183161315321e-06,0.000898431007647424,0.0254171328999262,0.594719865221945,0.104999673405866,0.273958075633002
"9-10","0","1","2",0.0694940728268085,0.838926278722277,0.0882122047566349,0.00331170962207017,2.12687156246893e-05,3.44653565851338e-05
"11","0","1","2",0.000310721362931601,0.0393350431351154,0.512269459244511,0.434869088757996,0.00500199583970895,0.0082136916597374
"12","0","1","2",7.75409449779736e-06,0.00102108313353094,0.0287835190035388,0.620876461220596,0.100081828126362,0.249229354421475
"9-10","1","1","2",0.0594868814558852,0.834138089975811,0.102401207545673,0.00390801150967146,2.5113454655834e-05,4.06960583035909e-05
"11","1","1","2",0.000263159769984573,0.0335175498089079,0.476775021428067,0.473876526586017,0.00588348671951933,0.00968425568750397
"12","1","1","2",6.56688374950852e-06,0.000864883792002329,0.0244921503314219,0.586674059806776,0.106363336647785,0.281599002538265
