"Nature_F","Has_Apical_GU_Child","probability","number"
"0","0",0.747720508073353,12
"1","0",1.27710843375177,83
"2","0",1.63301862649104,19
"0","1",1.36110416237316,61
"1","1",2.32476919679575,0
"2","1",2.9726460967041,1
