"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","0","1","2","3","4","5","6","7","10"
"1","0","0","0",0.04601647954751,0.0705554597037434,0.45286608738822,0.218393791604224,0.132493517733586,0.0260041491730415,0.0511375174034,0.00169190190851487,0.000841095537760794
"2","0","0","0",0.00623629105031412,0.010640944398249,0.129924584684978,0.178928212893273,0.274712315096683,0.095967554060977,0.284444452300915,0.0127167113802784,0.00642893413433354
"11","0","0","0",0.0249586481857371,0.040483075009088,0.346957959995381,0.250957852171258,0.196386170200067,0.043702332243136,0.0917914354527809,0.00317873934304358,0.00158378739950849
"12","0","0","0",0.0265642293358096,0.0429017985964035,0.358522955325032,0.24950653093057,0.189788615340599,0.0416018154996827,0.0866454314768758,0.00298286703233941,0.00148575646268778
"1","1","0","0",0.0144565086596886,0.024122540719567,0.248248311381394,0.243511240113634,0.248062660133642,0.064413910511862,0.148903318757144,0.00552096295702098,0.0027605467660482
"2","1","0","0",0.00190471654865367,0.00328863051173747,0.044528513087546,0.0783669901492672,0.185564776876018,0.0972716362068904,0.52875877839007,0.0394815544130598,0.0208344038167572
"11","1","0","0",0.00772405922071373,0.0131262517962066,0.155038168914246,0.19881077208838,0.276147027807589,0.0891044777336748,0.244556983970474,0.0103029368435944,0.00518932162512054
"12","1","0","0",0.00823030373407159,0.0139673172650394,0.163159950610067,0.204451268942558,0.275435698796831,0.0868297268649605,0.233379850073504,0.00967667467968636,0.00486920903328225
"1","0","1","0",0.0336885586503421,0.0533786147959806,0.401654137227389,0.239818004602594,0.164492856881823,0.0342078174884204,0.0692587839732201,0.00233787089487159,0.00116335548535895
"2","0","1","0",0.00451513453765997,0.00774036360444941,0.0983481958909754,0.148190969037377,0.261850459358274,0.103124372509773,0.349933917771155,0.0174234642650594,0.00887312302527676
"11","0","1","0",0.0181647504356322,0.0300077698441205,0.288371153945367,0.250949429744671,0.228357186761235,0.055329788454637,0.122242555443649,0.00438738446453313,0.00218998090615474
"12","0","1","0",0.0193419522763796,0.0318510839444136,0.299785231940446,0.251931686739023,0.222360957893765,0.0529218604423173,0.115635066705865,0.00411765415021037,0.00205450590757983
"1","1","1","0",0.0104906003265761,0.0176941656975861,0.197031273032653,0.224163621406737,0.268038928932634,0.0774692749768331,0.193690211021872,0.0076065017244662,0.00381542288064296
"2","1","1","0",0.00137737610169988,0.00238156820956934,0.0326802321996933,0.0595466535571979,0.152300242557195,0.0868996815976457,0.583248870695198,0.0529676646979527,0.0285977103838475
"11","1","1","0",0.00559460457846007,0.00956273879281927,0.118484290083543,0.168569618960638,0.27176186270002,0.0988610126064546,0.305857576586798,0.014142669248741,0.0071656264425255
"12","1","1","0",0.00596212056143406,0.0101807282729186,0.125083242031471,0.174648297214629,0.273667842225309,0.0972198181750848,0.293224092039247,0.0132894334650154,0.00672442601489065
"1","0","0","1",0.119300370933729,0.15107347903519,0.517496067511187,0.124624549470653,0.0576000080467761,0.010109929257637,0.0188921497175623,0.000603778875795435,0.000299667151470451
"2","0","0","1",0.0173179988844349,0.02867448004794,0.279787619745128,0.249887420862777,0.232769043025455,0.0571904421452988,0.127470345347318,0.00460386111721345,0.00229878882443457
"11","0","0","1",0.0670642717465187,0.0972681812570793,0.499075983952332,0.183540307529085,0.0981491872261859,0.0182409661936364,0.0349600021244766,0.00113655499330423,0.000564544977382675
"12","0","0","1",0.0711807546755895,0.102129495534129,0.504235066989789,0.177515765375813,0.0932642884163929,0.0172077698378367,0.032871039771102,0.0010662512565931,0.000529568142754178
"1","1","0","1",0.0395637660884816,0.0617120667839674,0.429119544172291,0.229859667996131,0.147702569412502,0.029767576988261,0.0593100444156023,0.00198001341249932,0.000984750730263828
"2","1","0","1",0.00533063024339303,0.00911808909117553,0.113665590550629,0.16394803708635,0.269986526674709,0.0999988431725913,0.315606569685501,0.0148259301624462,0.00751978333320491
"11","1","0","1",0.0213925769137571,0.0350336205989387,0.318326463596077,0.252503973086042,0.212354265282993,0.0491639351529553,0.105652956481765,0.00371815337335413,0.00185405551411888
"12","1","0","1",0.0227741121490865,0.0371575381015103,0.329931410299175,0.252229671241247,0.205949659427757,0.0469028177577473,0.0998261896748966,0.0034892762857438,0.00173932506283658
"1","0","1","1",0.0891747374023546,0.12207516278294,0.517334493471305,0.154275819477072,0.0762320912976887,0.0137251277578073,0.0259330025526328,0.000834996634424323,0.000414568623775424
"2","0","1","1",0.0125771050810295,0.021093655834361,0.225167629058761,0.236244736852307,0.258014543440748,0.0700984718586191,0.167278645651529,0.00634743463216048,0.00317777759048476
"11","0","1","1",0.0493895276596012,0.0750526053970835,0.463106211249989,0.212434351310581,0.125622138551748,0.02437468400547,0.0476683928239687,0.00157115969852406,0.000780929303035194
"12","0","1","1",0.0524821449218369,0.0791016497090898,0.471380731313068,0.207061518759352,0.119867135121741,0.0230411025406774,0.0448591096668939,0.00147405193613703,0.000732556031204368
"1","1","1","1",0.0289121507933619,0.0464003679109208,0.374123544689414,0.246791391229726,0.18076658853351,0.0388534268935722,0.0800551735950594,0.00273538020844077,0.00136197614599476
"2","1","1","1",0.00385845693871886,0.00662646820394019,0.0855206861582798,0.13368308420786,0.251520256826029,0.104863343777583,0.383273170482111,0.0202801662555666,0.0103743671499118
"11","1","1","1",0.015553900974173,0.0258767026184583,0.260828720045293,0.246531051990897,0.242158538654156,0.0614581531621946,0.139899727469247,0.00512977672947279,0.00256342835610945
"12","1","1","1",0.0165647562873957,0.0274831940977608,0.271875698271169,0.24865799906287,0.236751575051517,0.0589445978507102,0.132502422461707,0.00481484981266256,0.00240490710420915
"3","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"4","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"5","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"6","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"7","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"8","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"9","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
