"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","9","10","11","12"
"1","0","0","0",0.141478267513187,0.0154397412774575,0.661140839133707,0.129212872729863,0.00225525473069321,0.00211909097009,0.012569885271676,0.0357840483733259
"2","0","0","0",0.0237528784402336,0.00299242467714906,0.372239911441565,0.327226786028889,0.0090680073172934,0.00868872876952875,0.0551614572601463,0.200869806065195
"3","0","0","0",0.0188498327541119,0.00238816909132861,0.322675011228364,0.332925040296477,0.0099981136053614,0.00962236162343499,0.0620751993490456,0.241466272051877
"5","0","0","0",0.00882627018600051,0.00113112753318096,0.185514315452991,0.297114487799801,0.0115220776849625,0.0112754099476199,0.0774571128563287,0.407159198539116
"9","0","0","0",0.000259266740950281,3.35505847628171e-05,0.00673325205675325,0.020468319445475,0.00125960685288155,0.00128724719740783,0.0106377126036134,0.959321044518156
"10","0","0","0",0.00118659062079149,0.000153390706416579,0.0300562743177003,0.0832654340744246,0.00476262869738477,0.00482706022207198,0.0384036089482478,0.837345012412962
"11","0","0","0",0.00314229607522391,0.000405307025904818,0.0756472298794141,0.176559404118149,0.00887141736829566,0.00887316894460333,0.0666176256663608,0.659883550922049
"12","0","0","0",0.125745103122456,0.014002241897413,0.657180332299885,0.143120217173051,0.00254550250621577,0.0023933288163992,0.0142268250300869,0.0407864491544935
"1","1","0","0",0.125251929272884,0.0139560693845883,0.656991479512873,0.143594661260154,0.00255561592906173,0.00240289107883196,0.0142847356153449,0.0409626179462628
"2","1","0","0",0.0207030286097332,0.00261737812849217,0.342488767058744,0.331590332847179,0.00963732186479704,0.00925805358073983,0.0593255248355156,0.224379593074799
"3","1","0","0",0.016418941919946,0.00208599737726741,0.294427022280501,0.332435004020209,0.0104766927459606,0.0101114997848955,0.0659116215223046,0.268133220348916
"5","1","0","0",0.00767791119544342,0.000985246281713538,0.165646946596323,0.283242246458541,0.0114600592086682,0.0112506699938033,0.0782621042212736,0.441474816044235
"9","1","0","0",0.000225280998840165,2.9153756519809e-05,0.00585605031753133,0.017865445551227,0.00110257164556377,0.00112714381363941,0.00932927220506133,0.964465081711617
"10","1","0","0",0.00103117286059075,0.000133323258165192,0.026228043637843,0.0737560799928816,0.00426817679126233,0.00433144831469992,0.0346601534618728,0.855591601682685
"11","1","0","0",0.00273142361160454,0.00035247485688624,0.0664494141227524,0.160398327627016,0.00826237339595431,0.00828394650010991,0.0628382045687565,0.69068383531692
"12","1","0","0",0.111089732620086,0.0126011941497737,0.649542331281984,0.158386569616652,0.00287841477772299,0.00270833945430637,0.0161394934047809,0.0466539246946944
"1","0","1","0",0.163570598220672,0.0173426561446969,0.661250902068973,0.11303113189169,0.00193169226808887,0.00181380533255826,0.010734008391791,0.0303252056815299
"2","0","1","0",0.0280628750593206,0.00351783985723883,0.40906873213596,0.318250208448837,0.00833238363171951,0.00796063432294025,0.0500148329205423,0.174792493623442
"3","0","1","0",0.0222904777008013,0.00281292661824357,0.358392463540648,0.329595735409954,0.00933646700431001,0.00895645452067473,0.0571018833062609,0.211513591899107
"5","0","1","0",0.0104568215318262,0.00133760372185493,0.212003042414661,0.311521381735892,0.0114445625409537,0.011156071860686,0.0754942829409783,0.366586233253147
"9","0","1","0",0.000307654519844936,3.98100611528609e-05,0.00797938375578128,0.0241338661046885,0.00147918984624351,0.00151093389762426,0.0124586540904647,0.9520905077242
"10","0","1","0",0.00140780410242066,0.000181941483865646,0.035450787795274,0.0961757561001361,0.00541264212243261,0.00547626867635059,0.0432273774726555,0.812667422246865
"11","0","1","0",0.00372674704836469,0.000480373902806634,0.0884034045717925,0.197059766364834,0.00957484553285504,0.00954655187314424,0.0707234119361872,0.620484898770016
"12","0","1","0",0.14579786723096,0.015822401987366,0.661607405052882,0.125770878786579,0.00218520214337103,0.00205295741946687,0.012171417996648,0.0345918693827276
"1","1","1","0",0.145239111773189,0.0157731941192215,0.661560481700068,0.12620783103654,0.00219405735623879,0.00206131606674498,0.0122217569062463,0.0347422510417512
"2","1","1","0",0.0244734984096773,0.00308064714313961,0.378797163589826,0.325907545855268,0.00893910476774573,0.00856059475369797,0.0542426811229525,0.195998764357693
"3","1","1","0",0.0194246627755874,0.00245937247675514,0.328971874326723,0.332644215230242,0.00988537143013546,0.00950817442970142,0.0612049444249075,0.235901384905949
"5","1","1","0",0.00909826384641437,0.00116562382769236,0.190069032463486,0.299909122344896,0.0115205429008658,0.011266041064295,0.0771830520096983,0.399788321542652
"9","1","1","0",0.000267327606337507,3.45933913785732e-05,0.00694107176829305,0.0210822333371252,0.00129651081618438,0.00132485612139466,0.0109444546667523,0.958108952292534
