"burst_date_mother","position_mother_L","nature_mother_V","8","9","10","11","12","1"
"1","0","0",0.00276625948945054,0.0411227057665839,0.0174711692949154,0.0019380279137691,0.186031169987966,0.750670667547315
"3","0","0",0.00243851785579061,0.036440508585241,0.0155904471255295,0.00173342146968673,0.170218996723311,0.773578108240442
"4","0","0",0.00200882854652803,0.0302268515173311,0.013051998023018,0.00145566772485395,0.147464648010703,0.805792006177566
"10","0","0",7.12949692461442e-10,1.10850923600194e-08,5.00354220337844e-09,5.66529565271437e-10,6.79982581793148e-08,0.999999914633628
"12","0","0",2.5292363225233e-09,3.93250992170395e-08,1.77503965803118e-08,2.00980103826262e-09,2.41228268381724e-07,0.999999697157198
"1","1","0",0.00297795932313293,0.0441211602564702,0.0186611648512165,0.0020669617525185,0.195598630956985,0.736574122859677
"3","1","0",0.00262520188731913,0.0391135356103216,0.0166675019747864,0.00185071998810053,0.179379786506298,0.760363254033174
"4","1","0",0.00216268844851811,0.0324616608624961,0.0139705888913206,0.0015563877628787,0.155892169068068,0.793956504966718
"10","1","0",7.67674182928724e-10,1.19359602822484e-08,5.38760336826111e-09,6.10015159002707e-10,7.32176581763872e-08,0.999999908081089
"12","1","0",2.72337508184148e-09,4.23436094131837e-08,1.91128788330519e-08,2.1640690387279e-09,2.59744426033068e-07,0.999999673911642
"1","0","1",0.0160748552820597,0.196744251167064,0.0651664599941062,0.00670484352942652,0.377037346470973,0.338272243556371
"3","0","1",0.0141927752197508,0.1782135322204,0.0609275089730231,0.00632408883197122,0.37321673228663,0.367125362468225
"4","0","1",0.0117162035042503,0.152289706254186,0.0543659895017692,0.00571324921317271,0.362605094040773,0.413309757485849
"10","0","1",4.19902000997098e-09,6.52872459853525e-08,2.94690792212138e-08,3.33665701353899e-09,4.00485346052987e-07,0.999999497222652
"12","0","1",1.48963018656133e-08,2.31610792447617e-07,1.04543468490476e-07,1.18370060220372e-08,1.42074614107366e-06,0.99999821636629
"1","1","1",0.017287396299749,0.208184051161859,0.0675982972734349,0.00691750196107183,0.378091778857839,0.321920974446047
"3","1","1",0.0152655518306702,0.188894277021305,0.0634162352832827,0.00654909600656489,0.37575751225614,0.350117327602037
"4","1","1",0.0126041791040845,0.161795006435371,0.0568581922913217,0.00594806267911602,0.367295351726186,0.395499207763921
"10","1","1",4.52132778578569e-09,7.02985546760082e-08,3.17310621783815e-08,3.59277159978936e-09,4.3122572292969e-07,0.999999458630561
"12","1","1",1.60397100550165e-08,2.49388735519368e-07,1.12567995927151e-07,1.27455885385758e-08,1.52979931808464e-06,0.999998079458652
"2","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"9","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"11","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"2","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"9","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"11","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"2","0","1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","0","1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","0","1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","0","1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","0","1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
