variete;parcelle;trait;arbre;uc.dep;EC1;EC2;EC3;EC4;EC5;ddeb;year;month;week;type;posit;diam;dsup;date.flo;fruits;pb;date.pb
cogshall;cly;T;7;1;0;;;;;07/07/2008;2008;7;28;F;A;4,8;NA;;NA;NA;
cogshall;cly;T;7;2;0;;;;;05/07/2007;2007;7;27;V;A;;NA;;NA;NA;
cogshall;cly;T;7;2;0;0;;;;03/11/2007;2007;11;44;V;A;;NA;;NA;NA;
cogshall;cly;T;7;3;0;;;;;07/07/2007;2007;7;27;V;A;;NA;;NA;NA;
cogshall;cly;T;7;2;0;0;0;;;11/06/2008;2008;6;24;F;A;6,4;NA;;1;NA;
cogshall;cly;T;7;3;0;0;0;;;22/06/2008;2008;6;26;F;A;6;NA;;NA;NA;
cogshall;cly;T;7;4;;;;;;20/10/2007;2007;10;42;F;L;;NA;;1;NA;
cogshall;cly;T;7;4;0;;;;;04/07/2008;2008;7;27;F;L;8,1;NA;;NA;NA;
cogshall;cly;T;7;5;;;;;;16/07/2007;2007;7;29;F;A;;NA;;NA;NA;
cogshall;cly;T;7;5;1;1;;;;24/06/2008;2008;6;26;F;A;3,7;NA;;NA;NA;
cogshall;cly;T;7;6;0;;;;;13/07/2008;2008;7;29;F;A;4,5;NA;;NA;NA;
cogshall;cly;T;7;7;0;;;;;31/10/2007;2007;10;44;V;A;5,3;NA;;NA;NA;
cogshall;cly;T;7;7;1;;;;;31/10/2007;2007;10;44;V;L;;NA;;NA;NA;
cogshall;cly;T;7;7;1;0;;;;27/06/2008;2008;6;26;F;A;4,9;NA;;NA;NA;
cogshall;cly;T;7;8;0;;;;;09/07/2007;2007;7;28;V;A;;NA;;NA;NA;
cogshall;cly;T;7;8;0;0;;;;25/10/2007;2007;10;43;V;A;;NA;;NA;NA;
cogshall;cly;T;7;8;0;0;;;;19/06/2008;2008;6;25;F;A;6,8;NA;;1;NA;
cogshall;cly;T;7;9;0;0;;;;15/06/2008;2008;6;25;F;A;7,4;NA;;NA;NA;
cogshall;cly;T;7;9;0;0;;;;21/06/2008;2008;6;25;F;L;;NA;;NA;NA;
cogshall;cly;T;7;9;0;0;;;;21/06/2008;2008;6;25;F;L;;NA;;NA;NA;
cogshall;cly;T;7;9;1;;;;;21/06/2008;2008;6;25;F;A;5,5;NA;;NA;NA;
cogshall;cly;T;7;10;0;;;;;05/07/2007;2007;7;27;V;A;4,8;NA;;NA;NA;
cogshall;cly;T;7;10;1;;;;;03/11/2007;2007;11;44;V;L;;NA;;NA;NA;
cogshall;cly;T;7;10;1;0;;;;29/06/2008;2008;6;27;F;A;6,7;NA;;NA;NA;
cogshall;cly;T;7;10;1;0;;;;03/07/2008;2008;7;27;F;L;7,1;NA;;1;NA;
cogshall;cly;T;7;10;2;;;;;03/11/2007;2007;11;44;V;L;;NA;;NA;NA;
cogshall;cly;T;7;10;2;0;;;;16/06/2008;2008;6;25;F;A;;NA;;1;NA;
cogshall;cly;T;7;10;2;0;;;;21/06/2008;2008;6;25;F;L;;NA;;NA;NA;
