"Burst_Month","Position_A","108","109","110","111","101","102","103"
"10-11-12","0",3,2,0,0,0,2,25
"1","0",5,7,1,2,0,8,21
"2","0",35,3,1,3,4,29,27
"3-4-5","0",2,5,0,1,0,4,17
"10-11-12","1",3,0,0,0,1,7,21
"1","1",3,5,0,6,0,4,30
"2","1",15,1,0,5,3,52,61
"3-4-5","1",0,1,0,1,2,6,20
