"Burst_Month","Position_A","probability","number"
"10","0",0.999999991353131,8
"12","0",0.603946759220184,10
"1","0",0.729325511569017,6
"2","0",0.909263706202418,18
"3-4-5","0",0.999999987247535,4
"10","1",0.999999996539321,3
"12","1",0.79210648155964,4
"1","1",0.870674488430987,7
"2","1",0.961595163850851,24
"3-4-5","1",0.999999994896165,3
