"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8","0","0",3.86038108110099,22
"9","0","0",3.35693472689564,5
"10-11","0","0",2.01593569164343,27
"12","0","0",1.48446557340806,0
"1","0","0",0.863010410494188,4
"2","0","0",3.1952428765807e-08,3
"8","1","0",3.88243733778402,31
"9","1","0",3.37611454682769,15
"10-11","1","0",2.02745372422551,26
"12","1","0",1.49294705568568,6
"1","1","0",0.867941213628412,2
"2","1","0",3.21349887140865e-08,4
"8","0","1",3.57415407794114,39
"9","0","1",3.10803562950173,18
"10-11","0","1",1.86646463698332,41
"12","0","1",1.37440023958631,2
"1","0","1",0.79902271645517,6
"2","0","1",2.9583323815498e-08,10
"8","1","1",3.59457497891222,14
"9","1","1",3.1257933664153,5
"10-11","1","1",1.87712866788034,38
"12","1","1",1.38225286445227,6
"1","1","1",0.803587926407108,5
"2","1","1",2.97523479014378e-08,0
