"Nb_Inflorescences","Burst_Month","Position_A","probability","number"
"1","8","0",7.9862729255688e-08,5
"2","8","0",2.88005616987781e-07,0
"3","8","0",2.55653486776534e-07,0
"5","8","0",7.65700231622762e-08,0
"1","1","0",0.26832045152107,2
"2","1","0",0.967632810836626,1
"3","1","0",0.85893707420386,0
"5","1","0",0.257257714322573,0
"1","2","0",0.22747718240155,93
"2","2","0",0.820341439352129,0
"3","2","0",0.728191177349677,0
"5","2","0",0.218098395681056,0
"1","3","0",0.208670287597009,137
"2","3","0",0.752518921986552,1
"3","3","0",0.667987271509856,0
"5","3","0",0.200066901087579,0
"1","8","1",1.03479539270555e-07,1
"2","8","1",3.73173930204804e-07,0
"3","8","1",3.31254707560126e-07,0
"5","8","1",9.92131222237651e-08,0
"1","1","1",0.347667515987002,9
"2","1","1",1.25377880748189,1
"3","1","1",1.11293983475631,1
"5","1","1",0.33333333333333,3
"1","2","1",0.294746175704981,13
"2","2","1",1.06293079362368,2
"3","2","1",0.943530082621869,2
"5","2","1",0.28259391722598,0
"1","3","1",0.270377752191015,25
"2","3","1",0.975051968111854,4
"3","3","1",0.86552282571174,0
"5","3","1",0.259230193367775,0
