"Flowering_Week","Burst_Month","Position_A","Position_Ancestor_A","probability","stderror","number"
"1","2","1","1",380.906486002509,32.5508220746676,2
"3","2","1","1",348.106136192559,36.7832845909807,0
"4","2","1","1",389.197509143211,20.6212127024114,2
"5","2","1","1",397.308557736043,15.4898969168013,4
"6","2","1","1",400.577905663056,17.7471674960251,2
"7","2","1","1",391.563648900694,20.5668751972223,1
"8","2","1","1",385.584281609694,22.8695187883105,0
"9","2","1","1",382.654111009928,36.3106720180393,0
"1","3","1","1",358.361001573729,33.2362354503834,0
"3","3","1","1",325.560651763778,35.2136253294924,0
"4","3","1","1",366.652024714431,20.683171903491,0
"5","3","1","1",374.763073307262,15.3894299776618,4
"6","3","1","1",378.032421234276,16.3872720493182,5
"7","3","1","1",369.018164471914,19.0887300495536,1
"8","3","1","1",363.038797180914,21.2686224250147,1
"9","3","1","1",360.108626581148,35.2584505377509,0
