"Burst_Month","Position_A","Position_Ancestor_A","11","12","1","2","3","4"
"9-10","0","0",0.169037296521153,0.795171126554385,0.0345453017430024,0.00122564012517845,7.85227147459544e-06,1.2782784806542e-05
"11","0","0",0.00088567695100643,0.104175570506957,0.672332472840027,0.217893211004625,0.00178824439921499,0.0029248242981702
"12","0","0",2.24690586469457e-05,0.00294436545279579,0.0783540232990962,0.761267623832054,0.0536875374759495,0.103723980881457
"9-10","1","0",0.140532102548842,0.815325274932688,0.0425926037028636,0.00152434688130443,9.7689274835e-06,1.59030068180854e-05
"11","1","0",0.000712025743989588,0.0855130078882848,0.65110365687803,0.256814520974347,0.00222061205202917,0.00363617646331937
"12","1","0",1.80605790333833e-05,0.00236805282611561,0.0640389755081954,0.744985683502833,0.0627328276807868,0.125856399903036
"9-10","0","1",0.160074155034286,0.801814401007832,0.0367813013356334,0.00130811712167345,8.38137093317481e-06,1.36441296427758e-05
"11","0","1",0.000829810436106592,0.0982560959075107,0.666819141550568,0.229065894622648,0.00190776166599249,0.0031212958171738
"12","0","1",2.10506136352361e-05,0.00275900790843447,0.0738001492228018,0.757164712177005,0.0563101940612196,0.109944886016904
"9-10","1","1",0.132838811823607,0.8201837890948,0.0453231064115418,0.00162689090268431,1.04271687644264e-05,1.69745986030589e-05
"11","1","1",0.000667105443975784,0.0805566628894376,0.643281275174755,0.26924597967643,0.00236873057399811,0.00388024624140393
"12","1","1",1.69204313996971e-05,0.00221889408819101,0.0602579118477229,0.738735096331777,0.0655637508897443,0.133207426411165
