"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"9-10","0","0",1.03999638667735,25
"11","0","0",1.13333959854644,17
"12","0","0",1.18434189380623,44
"9-10","1","0",1.1322787062883,35
"11","1","0",1.23390457011807,11
"12","1","0",1.2894324677476,36
"9-10","0","1",1.02395621813151,79
"11","0","1",1.11585977033431,21
"12","0","1",1.16607544227246,62
"9-10","1","1",1.11481524052786,39
"11","1","1",1.21487369892687,22
"12","1","1",1.26954517354533,60
