"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8-9-10-11-12","0","0",0.864725793402584,15
"1-2","0","0",1.89049319862262,4
"8-9-10-11-12","1","0",1.0278029745528,35
"1-2","1","0",2.24701812729618,2
"8-9-10-11-12","0","1",1.12624049202554,25
"1-2","0","1",2.46222560542545,5
"8-9-10-11-12","1","1",1.33863628978944,44
"1-2","1","1",2.92657258588119,5
