"Burst_Month","Position_A","probability","number"
"9-10-11-12","0",0.0219742473963038,140
"1-2-3","0",0.0765557950217254,208
"4-5","0",7.75284602787557e-09,37
"9-10-11-12","1",0.0274800766359689,70
"1-2-3","1",0.094417233864644,255
"4-5","1",9.75027514151148e-09,31
