"Burst_Month","Position_Ancestor_A","1","2","3","4","5","6","7","8","9","10","11","12"
"8","0",0.0480724596600382,0.00633534774348124,0.0309123537919571,0.186251094252318,0.471546214741056,0.0910681128210687,0.0852988272862032,0.0494797299763584,0.0156231573157283,0.0106918998611203,0.00252767073879379,0.00219313181187641
"1","0",0.00998912124388008,0.0013763639512959,0.00693059070491074,0.0510288884545654,0.296956091437609,0.13500565876578,0.19399351981248,0.166558248835934,0.0655056593831187,0.0494666193196799,0.0123081609205984,0.0108810771701491
"2-3","0",0.0160417445224131,0.00219497015289396,0.0109967197644399,0.0781956613205936,0.375483958379816,0.136009390223939,0.167711309747072,0.123107084033629,0.0440127259091706,0.0317669183011766,0.00771730212230426,0.00676221552255241
"8","1",0.0568969083153602,0.00741972508301574,0.035945222832076,0.207880066432484,0.467436035814126,0.0817695247476327,0.074359263651768,0.0421819613136828,0.0131772667323478,0.00897933044289978,0.00211822861222744,0.00183646602237975
"1","1",0.0119102467954611,0.00163744638994867,0.00823197009728072,0.0599360871350938,0.326738351678105,0.13716660040707,0.185981612427987,0.150083211929242,0.056767700613224,0.0420620880287782,0.010360260542268,0.00912442395554158
"2-3","1",0.0191044583862748,0.00260479118736515,0.0130165903171234,0.0909846477103917,0.401629830865592,0.132553693332538,0.155070584114723,0.108354312329111,0.0376755831203509,0.0268564449704776,0.00648235729615654,0.00566670636989597
