"Burst_Month","Nature_Ancestor_F","probability","number"
"8-9","0",0.515240152947822,58
"11-12-1","0",0.768971998339948,65
"2-3","0",0.638678809682254,293
"8-9","1",0.530222596949813,9
"11-12-1","1",0.779468901859556,6
"2-3","1",0.652419810418718,827
"8-9","2",0.39117475022339,29
"11-12-1","2",0.668001339342786,5
"2-3","2",0.516563438815939,653
