"Burst_Month","Nature_Ancestor_F","probability","number"
"10","0",0.529477170182419,61
"12-1-2-3-4","0",0.882599118909917,445
"5","0",0.157547448257937,6
"10","1",0.258322380368528,1
"12-1-2-3-4","1",0.699417331490475,194
"5","1",0.0547153104963701,1
"10","2",0.221785119303686,2
"12-1-2-3-4","2",0.655642976146441,10
"5","2",0.0452204983212437,0
