"Has_Apical_GU_Child","Nature_F","probability","number"
"0","0",0.747720508073349,12
"1","0",1.36110416237316,61
"0","1",1.27710843375177,83
"1","1",2.32476919679576,0
"0","2",1.63301862649105,19
"1","2",2.97264609670412,1
