"is_loaded","position_mother_L","nature_mother_V","probas"
"0","0","0",0.742301799586777
"1","0","0",0.520774484531985
"0","1","0",0.593087804231817
"1","1","0",0.354784014012131
"0","0","1",0.900523039750434
"1","0","1",0.773508410092239
"0","1","1",0.820807498198137
"1","1","1",0.633440912365864
