"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","probas"
"0","1","0","0",4.87648643012323
"1","1","0","0",2.88204840645158
"0","2","0","0",6.67484125778831
"1","2","0","0",3.944892677542
"0","8","0","0",2.3091304951065
"1","8","0","0",1.36471739623856
"0","9","0","0",2.94984532604187
"1","9","0","0",1.74338576411926
"0","10","0","0",4.26411122481559
"1","10","0","0",2.52012901840506
"0","11","0","0",2.66040128372
"1","11","0","0",1.5723216685078
"0","12","0","0",1.06193784458244
"1","12","0","0",0.627615049602855
"0","1","1","0",3.0903796558806
"1","1","1","0",1.82644284777308
"0","2","1","0",4.23005250294117
"1","2","1","0",2.50000000000001
"0","8","1","0",1.46336712038596
"1","8","1","0",0.864863449903091
"0","9","1","0",1.86940784399227
"1","9","1","0",1.10483725833927
"0","10","1","0",2.70229862594925
"1","10","1","0",1.59708338375844
"0","11","1","0",1.68597823894266
"1","11","1","0",0.99642867184887
"0","12","1","0",0.672982721829152
"1","12","1","0",0.39773898867758
"0","1","0","1",3.81837700108965
"1","1","0","1",2.25669598570865
"0","2","0","1",5.22652133044469
"1","2","0","1",3.08892225735419
"0","8","0","1",1.80809090753619
"1","8","0","1",1.06859838399111
"0","9","0","1",2.30978219895209
"1","9","0","1",1.36510255921534
"0","10","0","1",3.3388761486849
"1","10","0","1",1.97330656437679
"0","11","0","1",2.08314228307391
"1","11","0","1",1.23115628093593
"0","12","0","1",0.831516523309144
"1","12","0","1",0.491433925897487
"0","1","1","1",2.41982311890728
"1","1","1","1",1.43013775669733
"0","2","1","1",3.3122075539589
"1","2","1","1",1.95754517920045
"0","8","1","1",1.14584290076479
"1","8","1","1",0.677203710809784
"0","9","1","1",1.46378012518663
"1","9","1","1",0.865107539545232
"0","10","1","1",2.11594865919478
"1","10","1","1",1.25054515146299
"0","11","1","1",1.32015142955162
"1","11","1","1",0.780221657197943
"0","12","1","1",0.52695763312074
"1","12","1","1",0.311436815946343
"0","3","0","0",0
"1","3","0","0",0
"0","4","0","0",0
"1","4","0","0",0
"0","5","0","0",0
"1","5","0","0",0
"0","6","0","0",0
"1","6","0","0",0
"0","7","0","0",0
"1","7","0","0",0
"0","3","1","0",0
"1","3","1","0",0
"0","4","1","0",0
"1","4","1","0",0
"0","5","1","0",0
"1","5","1","0",0
"0","6","1","0",0
"1","6","1","0",0
"0","7","1","0",0
"1","7","1","0",0
"0","3","0","1",0
"1","3","0","1",0
"0","4","0","1",0
"1","4","0","1",0
"0","5","0","1",0
"1","5","0","1",0
"0","6","0","1",0
"1","6","0","1",0
"0","7","0","1",0
"1","7","0","1",0
"0","3","1","1",0
"1","3","1","1",0
"0","4","1","1",0
"1","4","1","1",0
"0","5","1","1",0
"1","5","1","1",0
"0","6","1","1",0
"1","6","1","1",0
"0","7","1","1",0
"1","7","1","1",0
