"is_loaded","burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"0","1","0","0",0.807601700395559
"1","1","0","0",0.901800579833851
"0","2","0","0",0.791025047220731
"1","2","0","0",0.892257153007025
"0","3","0","0",0.858943399031009
"1","3","0","0",0.93017844036032
"0","4","0","0",0.849360871852563
"1","4","0","0",0.925012711092434
"0","5","0","0",0.0827537379424823
"1","5","0","0",0.164844545862437
"0","9","0","0",2.29127735782721e-07
"1","9","0","0",5.01283184917403e-07
"0","10","0","0",0.404232836646025
"1","10","0","0",0.597493683367059
"0","11","0","0",0.272974117582497
"1","11","0","0",0.45098460271218
"0","12","0","0",0.79507673095693
"1","12","0","0",0.894607615345562
"0","1","1","0",0.637862466547413
"1","1","1","0",0.793964526975589
"0","2","1","0",0.61365747398513
"1","2","1","0",0.776538029227518
"0","3","1","0",0.718723616232657
"1","3","1","0",0.848261579267321
"0","4","1","0",0.702910135612719
"1","4","1","0",0.838090179898933
"0","5","1","0",0.0364771744362028
"1","5","1","0",0.0764902790632026
"0","9","1","0",9.61468886085087e-08
"1","9","1","0",2.10349157380588e-07
"0","10","1","0",0.221618116411707
"1","10","1","0",0.383818980732969
"0","11","1","0",0.136109329867426
"1","11","1","0",0.256336815883479
"0","12","1","0",0.619493829775698
"1","12","1","0",0.780792755831681
"0","1","0","1",0.733681259924651
"1","1","0","1",0.857694598550114
"0","2","0","1",0.7129990905837
"1","2","0","1",0.844603394458303
"0","3","0","1",0.79986027724297
"1","3","0","1",0.897367711717014
"0","4","0","1",0.787258121614117
"1","4","0","1",0.890061397044765
"0","5","0","1",0.055902134205652
"1","5","0","1",0.114686909551508
"0","9","0","1",1.50379072248011e-07
"1","9","0","1",3.28997740386754e-07
"0","10","0","1",0.308108031517674
"1","10","0","1",0.493478482683707
"0","11","0","1",0.197704172692344
"1","11","0","1",0.35027884095898
"0","12","0","1",0.718024305933529
"1","12","0","1",0.847816133593862
"0","1","1","1",0.536181187252749
"1","1","1","1",0.716642946887724
"0","2","1","1",0.51039652455221
"1","2","1","1",0.695187317728935
"0","3","1","1",0.626450364313395
"1","3","1","1",0.785819913521788
"0","4","1","1",0.608276643459406
"1","4","1","1",0.772585040487915
"0","5","1","1",0.0242443181752979
"1","5","1","1",0.0515567832041362
"0","9","1","1",6.31022656348338e-08
"1","9","1","1",1.38054482242546e-07
"0","10","1","1",0.157442443501409
"1","10","1","1",0.290184074326169
"0","11","1","1",0.0937139240083799
"1","11","1","1",0.184490300375618
"0","12","1","1",0.516563905974587
"1","12","1","1",0.700393355430571
"0","6","0","0",0
"1","6","0","0",0
"0","7","0","0",0
"1","7","0","0",0
"0","8","0","0",0
"1","8","0","0",0
"0","6","1","0",0
"1","6","1","0",0
"0","7","1","0",0
"1","7","1","0",0
"0","8","1","0",0
"1","8","1","0",0
"0","6","0","1",0
"1","6","0","1",0
"0","7","0","1",0
"1","7","0","1",0
"0","8","0","1",0
"1","8","0","1",0
"0","6","1","1",0
"1","6","1","1",0
"0","7","1","1",0
"1","7","1","1",0
"0","8","1","1",0
"1","8","1","1",0
