Burst,Burst_date_child,Delta_Burst_date,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother_V,position_mother_L,tree,uc
1,3.0,15,1.0,3.0,1.0,1,0,1,F2,51428
1,3.0,15,1.0,6.0,1.0,1,1,0,F2,51442
1,3.0,14,1.0,4.0,2.0,1,0,0,F2,51466
0,,,,,2.0,1,0,1,F2,51480
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,51485
1,3.0,15,1.0,7.0,1.0,1,0,0,F2,51502
1,3.0,15,1.0,7.0,1.0,1,0,0,F2,51527
0,,,,,1.0,1,0,1,F2,51550
1,3.0,15,1.0,5.0,1.0,1,0,1,F2,51552
1,3.0,15,1.0,4.0,1.0,1,0,1,F2,51569
1,3.0,15,1.0,4.0,1.0,1,0,1,F2,51583
1,3.0,15,1.0,2.0,1.0,1,0,1,F2,51597
0,,,,,10.0,1,1,1,F2,51606
1,3.0,14,1.0,6.0,2.0,1,0,0,F2,51613
0,,,,,1.0,1,0,0,F2,51639
0,,,,,1.0,1,0,0,F2,51642
0,,,,,1.0,1,0,0,F2,51645
0,,,,,1.0,1,0,0,F2,51649
0,,,,,9.0,1,1,0,F2,51654
1,3.0,18,1.0,1.0,10.0,1,1,1,F2,51656
0,,,,,9.0,1,1,1,F2,51660
0,,,,,4.0,1,0,0,F2,51664
0,,,,,2.0,1,0,1,F2,51667
0,,,,,2.0,1,0,1,F2,51670
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,51708
1,3.0,15,1.0,1.0,1.0,1,0,1,F2,51720
1,3.0,15,1.0,1.0,1.0,1,0,0,F2,51726
0,,,,,1.0,1,0,1,F2,51730
1,3.0,14,1.0,1.0,2.0,1,0,1,F2,51734
0,,,,,1.0,1,0,0,F2,51740
1,3.0,15,1.0,3.0,1.0,1,0,0,F2,51746
1,3.0,15,1.0,3.0,1.0,1,0,1,F2,51756
1,3.0,15,1.0,4.0,1.0,1,0,1,F2,51766
1,3.0,15,1.0,8.0,1.0,1,0,0,F2,51783
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,51817
1,3.0,15,1.0,2.0,1.0,1,0,1,F2,51833
1,11.0,10,1.0,5.0,1.0,1,0,0,F2,51844
1,11.0,10,1.0,2.0,1.0,1,0,1,F2,51873
0,,,,,1.0,1,0,1,F2,51894
0,,,,,10.0,1,1,1,F2,51897
0,,,,,12.0,1,0,0,F2,51901
0,,,,,1.0,1,0,0,F2,51904
0,,,,,12.0,1,0,1,F2,51907
0,,,,,2.0,1,0,0,F2,51915
1,3.0,16,0.0,,12.0,1,1,1,F2,51933
0,,,,,12.0,1,1,1,F2,51939
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,51950
1,3.0,15,1.0,1.0,1.0,1,0,1,F2,51967
1,3.0,15,1.0,5.0,1.0,1,0,1,F2,51972
1,3.0,15,1.0,4.0,1.0,1,0,0,F2,51990
1,3.0,15,1.0,4.0,1.0,1,0,0,F2,52005
1,3.0,15,1.0,2.0,1.0,1,0,0,F2,52020
1,3.0,15,1.0,6.0,1.0,1,0,0,F2,52029
1,10.0,9,1.0,5.0,1.0,1,0,1,F2,52047
0,,,,,1.0,1,0,1,F2,52068
1,3.0,15,1.0,6.0,1.0,1,0,0,F2,52076
1,3.0,15,1.0,3.0,1.0,1,0,1,F2,52092
1,3.0,16,1.0,3.0,12.0,1,1,1,F2,52108
1,3.0,16,1.0,2.0,12.0,1,0,1,F2,52119
1,3.0,15,1.0,2.0,1.0,1,0,0,F2,52131
1,3.0,16,1.0,1.0,12.0,1,0,0,F2,52141
1,3.0,15,1.0,3.0,1.0,1,0,0,F2,52158
1,3.0,14,1.0,7.0,2.0,1,0,0,F2,52173
0,,,,,10.0,1,1,0,F2,52198
1,3.0,15,1.0,3.0,1.0,1,0,0,F2,52201
0,,,,,12.0,1,0,1,F2,52217
0,,,,,12.0,1,0,1,F2,52220
0,,,,,12.0,1,0,1,F2,52223
0,,,,,10.0,1,0,1,F2,52226
0,,,,,12.0,1,0,0,F2,52230
0,,,,,12.0,1,0,0,F2,52235
0,,,,,12.0,1,0,1,F2,52237
0,,,,,2.0,1,0,1,F2,52242
0,,,,,2.0,1,0,1,F2,52245
0,,,,,9.0,1,1,1,F2,52255
1,11.0,10,1.0,5.0,1.0,1,0,0,F2,52259
1,3.0,15,1.0,2.0,1.0,1,0,1,F2,52277
1,3.0,15,1.0,1.0,1.0,1,0,1,F2,52285
0,,,,,1.0,1,0,0,F2,52291
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,52294
1,3.0,15,1.0,2.0,1.0,1,0,0,F2,52311
1,11.0,10,1.0,5.0,1.0,1,0,0,F2,52320
1,8.0,7,1.0,6.0,1.0,1,0,1,F2,52340
1,3.0,15,1.0,8.0,1.0,1,0,0,F2,52364
1,3.0,15,1.0,5.0,1.0,1,0,1,F2,52388
1,3.0,15,1.0,2.0,1.0,1,0,1,F2,52404
0,,,,,10.0,1,1,1,F2,52412
0,,,,,1.0,1,0,0,F2,52417
0,,,,,1.0,1,0,0,F2,52420
0,,,,,12.0,1,0,1,F2,52423
0,,,,,1.0,1,0,0,F2,52427
0,,,,,1.0,1,0,0,F2,52432
0,,,,,1.0,1,0,0,F2,52436
1,3.0,15,1.0,6.0,1.0,1,0,0,F2,52442
0,,,,,1.0,1,0,0,F2,52462
1,3.0,15,1.0,1.0,1.0,1,0,0,F2,52465
0,,,,,1.0,1,0,0,F2,52470
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,52473
0,,,,,1.0,1,0,1,F2,52490
1,3.0,15,1.0,2.0,1.0,1,0,0,F2,52498
0,,,,,12.0,1,0,1,F2,52512
0,,,,,12.0,1,0,1,F2,52514
0,,,,,1.0,1,0,0,F2,52518
1,3.0,14,1.0,11.0,2.0,1,0,0,F2,52533
1,3.0,14,1.0,1.0,2.0,1,0,1,F2,52560
1,3.0,18,1.0,1.0,10.0,1,1,1,F2,52565
1,3.0,18,1.0,1.0,10.0,1,0,1,F2,52569
0,,,,,2.0,1,0,0,F2,52577
0,,,,,10.0,1,0,0,F2,52580
0,,,,,10.0,1,0,1,F2,52583
1,3.0,14,1.0,1.0,2.0,1,0,1,F2,52596
1,3.0,14,1.0,2.0,2.0,1,0,0,F2,52602
0,,,,,10.0,1,1,1,F2,52615
1,3.0,14,1.0,4.0,2.0,1,0,0,F2,52619
1,1.0,11,1.0,3.0,2.0,1,0,1,F2,52630
1,3.0,18,1.0,1.0,10.0,1,0,1,F2,52663
0,,,,,10.0,1,0,1,F2,52668
1,3.0,14,1.0,2.0,2.0,1,0,0,F2,52685
1,3.0,14,1.0,3.0,2.0,1,0,1,F2,52691
1,3.0,14,1.0,3.0,2.0,1,0,1,F2,52699
1,3.0,14,1.0,3.0,2.0,1,0,1,F2,52707
1,3.0,18,0.0,,10.0,1,1,1,F2,52716
1,3.0,14,1.0,6.0,2.0,1,0,0,F2,52730
1,9.0,7,0.0,,2.0,1,1,1,F2,52752
1,9.0,7,0.0,,2.0,1,1,1,F2,52757
0,,,,,2.0,1,0,0,F2,52773
0,,,,,12.0,1,0,1,F2,52775
1,3.0,16,1.0,3.0,12.0,1,1,0,F2,52779
1,9.0,8,1.0,2.0,1.0,1,0,0,F2,52796
0,,,,,1.0,1,0,1,F2,52811
1,9.0,8,1.0,1.0,1.0,1,0,1,F2,52813
1,9.0,8,1.0,1.0,1.0,1,1,1,F2,52824
1,3.0,15,1.0,4.0,1.0,1,0,1,F2,52837
1,8.0,7,0.0,,1.0,1,0,1,F2,52847
0,,,,,12.0,1,1,1,F2,52851
0,,,,,12.0,1,0,1,F2,52852
1,3.0,14,1.0,2.0,2.0,1,0,0,F2,52855
1,9.0,8,0.0,,1.0,1,1,0,F2,52862
1,9.0,8,0.0,,1.0,1,1,1,F2,52871
1,9.0,8,1.0,3.0,1.0,1,1,0,F2,52877
1,9.0,8,0.0,,1.0,1,1,1,F2,52927
0,,,,,12.0,1,0,1,F2,52938
0,,,,,10.0,1,1,1,F2,52941
1,1.0,11,1.0,2.0,2.0,1,0,0,F2,52945
1,9.0,8,1.0,5.0,1.0,1,1,0,F2,52955
1,9.0,8,0.0,,1.0,1,1,1,F2,52992
1,9.0,8,0.0,,1.0,1,1,1,F2,52997
1,9.0,8,0.0,,1.0,1,1,1,F2,53002
1,9.0,8,1.0,1.0,1.0,1,1,0,F2,53011
0,,,,,12.0,1,0,1,F2,53024
0,,,,,12.0,1,1,1,F2,53026
0,,,,,10.0,1,0,0,F2,53028
1,3.0,11,1.0,1.0,4.0,1,0,0,F2,53033
1,9.0,5,1.0,2.0,4.0,1,1,0,F2,53038
1,9.0,5,0.0,,4.0,1,1,1,F2,53058
0,,,,,4.0,1,0,0,F2,53064
1,3.0,15,1.0,3.0,1.0,1,0,0,F2,53069
0,,,,,1.0,1,0,0,F2,53078
0,,,,,12.0,1,0,0,F2,53082
1,9.0,7,1.0,2.0,2.0,1,0,0,F2,53091
1,2.0,14,1.0,5.0,1.0,1,0,1,F2,53106
1,2.0,14,1.0,1.0,1.0,1,0,1,F2,53121
1,11.0,10,1.0,5.0,1.0,1,0,0,F2,53126
1,10.0,9,1.0,1.0,1.0,1,0,1,F2,53141
