Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,cycle,is_in_extremity,is_loaded,tree,uc
1,2.0,12.0,1.0,,1.0,3.0,1.0,3,4,1,1,F2,51174
1,3.0,13.0,1.0,,1.0,2.0,1.0,3,4,1,1,F2,51187
0,,,1.0,,,,1.0,3,4,1,1,F2,51195
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,51198
1,3.0,3.0,,NA,0.0,,,12,4,0,1,F2,51199
1,3.0,13.0,1.0,,1.0,4.0,1.0,3,4,1,1,F2,51200
1,3.0,3.0,,NA,1.0,1.0,,12,4,0,1,F2,51214
1,3.0,13.0,1.0,,1.0,2.0,1.0,3,4,1,1,F2,51215
0,,,1.0,,,,1.0,3,4,1,1,F2,51222
0,,,1.0,,,,1.0,10,4,1,1,F2,51225
0,,,1.0,,,,1.0,12,4,1,1,F2,51229
0,,,1.0,,,,1.0,12,4,1,1,F2,51232
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51236
0,,,1.0,,,,1.0,4,4,1,1,F2,51237
0,,,1.0,,,,1.0,4,4,1,1,F2,51239
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51242
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51244
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51248
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51249
0,,,1.0,,,,1.0,4,4,1,1,F2,51252
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51257
1,4.0,4.0,,NA,1.0,2.0,,12,4,0,1,F2,51258
1,3.0,11.0,1.0,,1.0,5.0,1.0,4,4,1,1,F2,51259
0,,,1.0,,,,1.0,4,4,1,1,F2,51273
0,,,1.0,,,,1.0,4,4,1,1,F2,51275
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,51280
1,4.0,4.0,,NA,1.0,3.0,,12,4,0,1,F2,51281
1,3.0,11.0,1.0,,1.0,7.0,1.0,4,4,1,1,F2,51282
1,3.0,11.0,1.0,,1.0,3.0,1.0,4,4,1,1,F2,51304
0,,,1.0,,,,1.0,4,4,1,1,F2,51313
1,3.0,11.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,51315
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51328
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,51329
1,2.0,10.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,51330
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51346
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51347
0,,,1.0,,,,1.0,4,4,1,1,F2,51348
1,3.0,11.0,1.0,,0.0,,1.0,4,4,1,1,F2,51350
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51368
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51370
1,3.0,14.0,1.0,,1.0,2.0,1.0,2,4,1,1,F2,51373
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51401
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,51402
1,3.0,15.0,1.0,,1.0,8.0,1.0,1,4,1,1,F2,51403
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,51428
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51440
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51441
1,3.0,15.0,0.0,NA,1.0,6.0,0.0,1,4,1,1,F2,51442
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51464
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51465
1,3.0,14.0,1.0,,1.0,4.0,1.0,2,4,1,1,F2,51466
0,,,1.0,,,,1.0,2,4,1,1,F2,51480
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,51483
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51484
1,3.0,15.0,1.0,,1.0,5.0,2.0,1,4,1,1,F2,51485
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51501
1,3.0,15.0,1.0,,1.0,7.0,4.0,1,4,1,1,F2,51502
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51525
1,1.0,2.0,,NA,1.0,5.0,,11,4,0,1,F2,51526
1,3.0,15.0,1.0,,1.0,7.0,6.0,1,4,1,1,F2,51527
0,,,1.0,,,,1.0,1,4,1,1,F2,51550
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51552
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51569
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51583
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,51597
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51606
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51608
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51609
1,3.0,14.0,1.0,,1.0,6.0,2.0,2,4,1,1,F2,51613
1,11.0,1.0,,NA,1.0,2.0,,10,4,0,1,F2,51637
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51638
0,,,1.0,,,,1.0,1,4,1,1,F2,51639
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51641
0,,,1.0,,,,1.0,1,4,1,1,F2,51642
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51644
0,,,1.0,,,,1.0,1,4,1,1,F2,51645
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51648
0,,,1.0,,,,1.0,1,4,1,1,F2,51649
1,9.0,2.0,,NA,0.0,,,7,4,0,1,F2,51653
0,,,0.0,NA,,,0.0,9,4,1,1,F2,51654
1,3.0,18.0,0.0,NA,0.0,,0.0,10,4,1,1,F2,51656
0,,,0.0,NA,,,0.0,9,4,1,1,F2,51660
1,4.0,2.0,,NA,0.0,,,2,4,0,1,F2,51663
0,,,1.0,,,,1.0,4,4,1,1,F2,51664
0,,,1.0,,,,1.0,2,4,1,1,F2,51667
0,,,1.0,,,,1.0,2,4,1,1,F2,51670
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,51707
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51708
1,3.0,15.0,1.0,,0.0,,1.0,1,4,1,1,F2,51720
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,51725
1,3.0,15.0,1.0,,0.0,,1.0,1,4,1,1,F2,51726
0,,,1.0,,,,1.0,1,4,1,1,F2,51730
1,3.0,14.0,1.0,,0.0,,1.0,2,4,1,1,F2,51734
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51739
0,,,1.0,,,,1.0,1,4,1,1,F2,51740
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51744
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,51745
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,51746
1,3.0,15.0,1.0,,1.0,3.0,3.0,1,4,1,1,F2,51756
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51766
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51781
1,12.0,1.0,,NA,1.0,2.0,,11,4,0,1,F2,51782
1,3.0,15.0,1.0,,1.0,8.0,3.0,1,4,1,1,F2,51783
1,1.0,1.0,,NA,1.0,2.0,,12,4,0,1,F2,51809
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51817
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,51833
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51842
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,51843
1,11.0,10.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51844
1,11.0,10.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,51873
0,,,1.0,,,,1.0,1,4,1,1,F2,51894
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51897
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,51900
0,,,1.0,,,,1.0,12,4,1,1,F2,51901
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51903
0,,,1.0,,,,1.0,1,4,1,1,F2,51904
0,,,1.0,,,,1.0,12,4,1,1,F2,51907
1,2.0,2.0,,NA,0.0,,,12,4,0,1,F2,51914
0,,,1.0,,,,1.0,2,4,1,1,F2,51915
1,3.0,16.0,0.0,NA,0.0,,0.0,12,4,1,1,F2,51933
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51939
1,11.0,1.0,,NA,1.0,2.0,,10,4,0,1,F2,51942
1,1.0,2.0,,NA,1.0,4.0,,11,4,0,1,F2,51943
1,3.0,15.0,1.0,,1.0,5.0,6.0,1,4,1,1,F2,51950
1,3.0,15.0,1.0,,0.0,,1.0,1,4,1,1,F2,51967
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51972
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51989
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51990
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52004
1,3.0,15.0,1.0,,1.0,4.0,3.0,1,4,1,1,F2,52005
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52018
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52019
1,3.0,15.0,1.0,,1.0,2.0,2.0,1,4,1,1,F2,52020
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52027
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,52028
1,3.0,15.0,1.0,,1.0,6.0,2.0,1,4,1,1,F2,52029
1,10.0,9.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,52047
0,,,1.0,,,,1.0,1,4,1,1,F2,52068
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,52071
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,52075
1,3.0,15.0,1.0,,1.0,6.0,3.0,1,4,1,1,F2,52076
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,52092
1,3.0,16.0,0.0,NA,1.0,3.0,0.0,12,4,1,1,F2,52108
1,3.0,16.0,1.0,,1.0,2.0,1.0,12,4,1,1,F2,52119
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52129
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52130
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,52131
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52140
1,3.0,16.0,1.0,,0.0,,1.0,12,4,1,1,F2,52141
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52147
1,1.0,2.0,,NA,1.0,3.0,,11,4,0,1,F2,52148
1,3.0,15.0,1.0,,1.0,3.0,2.0,1,4,1,1,F2,52158
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52169
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,52170
1,3.0,14.0,1.0,,1.0,7.0,2.0,2,4,1,1,F2,52173
