Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49616
no,,,no,NA,,,0.0,1,yes,no,F,L,L,49619
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49621
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49624
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49629
no,,,yes,2,,,2.0,1,yes,no,F,L,L,49632
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49635
no,,,yes,4,,,2.0,1,yes,no,F,L,L,49638
no,,,yes,3,,,2.0,1,yes,no,F,L,L,49641
no,,,yes,6,,,1.0,1,yes,no,F,L,L,49644
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49649
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49652
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49655
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49661
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49664
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49667
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49670
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49673
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49676
no,,,yes,4,,,1.0,1,yes,no,F,A,L,49679
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49682
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49688
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49691
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49696
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49699
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49702
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49705
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49708
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49715
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49718
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49726
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49729
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49732
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49735
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49738
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49741
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49744
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49749
no,,,yes,2,,,1.0,1,yes,no,F,L,L,49752
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49760
