Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor_V,position_ancestor_L,position_mother_L,tree,uc
1,12.0,2.0,,NA,1.0,1.0,,10,0,1,0,0,1,F2,51198
1,3.0,3.0,,NA,0.0,,,12,0,1,0,0,0,F2,51199
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,51200
1,3.0,3.0,,NA,1.0,1.0,,12,0,1,0,0,1,F2,51214
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,51215
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51222
0,,,1.0,,,,1.0,10,1,1,0,1,0,F2,51225
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,51229
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,51232
1,4.0,4.0,,NA,1.0,1.0,,12,0,1,0,0,0,F2,51236
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,51237
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51239
0,,,0.0,NA,,,0.0,12,1,1,0,0,1,F2,51242
0,,,0.0,NA,,,0.0,10,1,1,0,1,1,F2,51244
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,51248
1,4.0,4.0,,NA,0.0,,,12,0,1,0,0,0,F2,51249
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,51252
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,51257
1,4.0,4.0,,NA,1.0,2.0,,12,0,1,0,0,0,F2,51258
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,51259
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51273
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51275
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,1,0,F2,51280
1,4.0,4.0,,NA,1.0,3.0,,12,0,1,0,1,0,F2,51281
0,,,1.0,,,,1.0,4,1,1,0,1,0,F2,51282
0,,,1.0,,,,1.0,4,1,1,0,1,1,F2,51304
0,,,1.0,,,,1.0,4,1,1,0,1,1,F2,51313
0,,,1.0,,,,1.0,4,1,1,0,1,1,F2,51315
0,,,0.0,NA,,,0.0,12,1,1,0,1,1,F2,51328
1,4.0,4.0,,NA,0.0,,,12,0,1,0,1,1,F2,51329
0,,,1.0,,,,1.0,4,1,1,0,1,0,F2,51330
1,12.0,2.0,,NA,0.0,,,10,0,1,0,1,1,F2,51346
1,4.0,4.0,,NA,1.0,1.0,,12,0,1,0,1,0,F2,51347
0,,,1.0,,,,1.0,4,1,1,0,1,0,F2,51348
0,,,1.0,,,,1.0,4,1,1,0,1,1,F2,51350
0,,,0.0,NA,,,0.0,10,1,1,1,0,0,F2,51368
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,F2,51370
0,,,1.0,,,,1.0,2,1,1,1,0,0,F2,51373
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,0,F2,51401
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,0,F2,51402
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51403
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51428
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,51440
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,0,F2,51441
0,,,0.0,NA,,,0.0,1,1,1,0,0,0,F2,51442
1,12.0,2.0,,NA,0.0,,,10,0,1,0,1,0,F2,51464
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,F2,51465
0,,,1.0,,,,1.0,2,1,1,0,1,0,F2,51466
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,51480
1,11.0,1.0,,NA,1.0,1.0,,10,0,1,0,1,0,F2,51483
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,0,F2,51484
0,,,1.0,,,,2.0,1,1,1,0,1,0,F2,51485
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,1,F2,51501
0,,,1.0,,,,4.0,1,1,1,0,1,0,F2,51502
1,11.0,1.0,,NA,0.0,,,10,0,1,0,1,0,F2,51525
1,1.0,2.0,,NA,1.0,5.0,,11,0,1,0,1,0,F2,51526
0,,,1.0,,,,6.0,1,1,1,0,1,0,F2,51527
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,51550
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,51552
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,51569
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,51583
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,51597
0,,,0.0,NA,,,0.0,10,1,1,0,1,1,F2,51606
1,12.0,2.0,,NA,0.0,,,10,0,1,0,1,1,F2,51608
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,F2,51609
0,,,1.0,,,,2.0,2,1,1,0,1,0,F2,51613
1,11.0,1.0,,NA,1.0,2.0,,10,0,1,0,0,0,F2,51637
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,0,F2,51638
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51639
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,51641
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51642
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,51644
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51645
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,51648
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51649
1,9.0,2.0,,NA,0.0,,,7,0,1,0,0,1,F2,51653
0,,,0.0,NA,,,0.0,9,1,1,0,0,0,F2,51654
0,,,0.0,NA,,,0.0,10,1,1,0,1,1,F2,51656
0,,,0.0,NA,,,0.0,9,1,1,0,1,1,F2,51660
1,4.0,2.0,,NA,0.0,,,2,0,1,1,0,1,F2,51663
0,,,1.0,,,,1.0,4,1,1,1,0,0,F2,51664
0,,,1.0,,,,1.0,2,1,1,1,0,1,F2,51667
0,,,1.0,,,,1.0,2,1,1,1,0,1,F2,51670
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,1,0,1,F2,51707
0,,,1.0,,,,1.0,1,1,1,1,0,0,F2,51708
0,,,1.0,,,,1.0,1,1,1,1,0,1,F2,51720
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,1,0,1,F2,51725
0,,,1.0,,,,1.0,1,1,1,1,0,0,F2,51726
0,,,1.0,,,,1.0,1,1,1,1,0,1,F2,51730
0,,,1.0,,,,1.0,2,1,1,1,1,1,F2,51734
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,1,F2,51739
0,,,1.0,,,,1.0,1,1,1,0,1,0,F2,51740
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,0,F2,51744
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,51745
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51746
0,,,1.0,,,,3.0,1,1,1,0,0,1,F2,51756
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51766
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,51781
1,12.0,1.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,51782
0,,,1.0,,,,3.0,1,1,1,0,0,0,F2,51783
1,1.0,1.0,,NA,0.0,,,12,0,1,0,0,1,F2,51809
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51817
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51833
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,51842
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,51843
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51844
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51873
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51894
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,51897
1,12.0,2.0,,NA,1.0,1.0,,10,0,1,0,0,0,F2,51900
0,,,1.0,,,,1.0,12,1,1,0,0,0,F2,51901
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,51903
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51904
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,51907
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,F2,51914
0,,,1.0,,,,1.0,2,1,1,1,0,0,F2,51915
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,F2,51933
0,,,0.0,NA,,,0.0,12,1,1,1,1,1,F2,51939
1,11.0,1.0,,NA,1.0,2.0,,10,0,1,0,0,0,F2,51942
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,51943
0,,,1.0,,,,6.0,1,1,1,0,0,0,F2,51950
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51967
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,51972
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,51989
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,51990
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,52004
0,,,1.0,,,,3.0,1,1,1,0,0,0,F2,52005
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52018
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,0,F2,52019
0,,,1.0,,,,2.0,1,1,1,0,0,0,F2,52020
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52027
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,52028
0,,,1.0,,,,2.0,1,1,1,0,0,0,F2,52029
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52047
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52068
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52071
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,0,F2,52075
0,,,1.0,,,,3.0,1,1,1,0,0,0,F2,52076
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52092
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,F2,52108
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52119
1,11.0,1.0,,NA,0.0,,,10,0,1,1,1,0,F2,52129
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52130
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52131
1,12.0,2.0,,NA,0.0,,,10,0,1,1,1,1,F2,52140
0,,,1.0,,,,1.0,12,1,1,1,1,0,F2,52141
1,11.0,1.0,,NA,0.0,,,10,0,1,1,1,1,F2,52147
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,0,F2,52148
0,,,1.0,,,,2.0,1,1,1,1,1,0,F2,52158
1,12.0,2.0,,NA,0.0,,,10,0,1,1,1,1,F2,52169
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,0,F2,52170
0,,,1.0,,,,2.0,2,1,1,1,1,0,F2,52173
0,,,0.0,NA,,,0.0,10,1,1,1,1,0,F2,52198
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52200
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52201
1,12.0,2.0,,NA,0.0,,,10,0,1,1,0,0,F2,52216
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52217
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52220
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52223
0,,,1.0,,,,1.0,10,1,1,1,0,1,F2,52226
1,12.0,2.0,,NA,0.0,,,10,0,1,1,0,1,F2,52229
0,,,1.0,,,,1.0,12,1,1,1,0,0,F2,52230
1,12.0,2.0,,NA,1.0,1.0,,10,0,1,1,1,0,F2,52234
0,,,1.0,,,,2.0,12,1,1,1,1,0,F2,52235
0,,,1.0,,,,1.0,12,1,1,1,1,1,F2,52237
0,,,1.0,,,,1.0,2,1,1,1,0,1,F2,52242
0,,,1.0,,,,1.0,2,1,1,1,0,1,F2,52245
0,,,0.0,NA,,,0.0,9,1,1,0,1,1,F2,52255
1,12.0,2.0,,NA,1.0,4.0,,10,0,1,0,0,0,F2,52257
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,52258
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,52259
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52277
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52285
1,1.0,1.0,,NA,0.0,,,12,0,1,0,0,1,F2,52290
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,52291
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,52293
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,52294
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,52310
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,52311
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,1,F2,52319
0,,,1.0,,,,3.0,1,1,1,0,0,0,F2,52320
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52340
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52362
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,52363
0,,,1.0,,,,2.0,1,1,1,0,0,0,F2,52364
0,,,1.0,,,,2.0,1,1,1,0,0,1,F2,52388
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52404
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,52412
1,11.0,1.0,,NA,1.0,1.0,,10,0,1,1,1,0,F2,52415
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,0,F2,52416
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52417
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52419
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52420
0,,,1.0,,,,1.0,12,1,1,1,1,1,F2,52423
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52426
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52427
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52431
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52432
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52435
0,,,1.0,,,,2.0,1,1,1,1,1,0,F2,52436
1,11.0,1.0,,NA,1.0,5.0,,10,0,1,1,1,0,F2,52440
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,0,F2,52441
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52442
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52461
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52462
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52464
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52465
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52469
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52470
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,1,1,1,F2,52472
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52473
0,,,1.0,,,,1.0,1,1,1,1,1,1,F2,52490
1,1.0,2.0,,NA,0.0,,,11,0,1,1,1,1,F2,52492
0,,,1.0,,,,1.0,1,1,1,1,1,0,F2,52498
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,1,0,0,F2,52511
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52512
0,,,1.0,,,,1.0,12,1,1,1,0,1,F2,52514
1,1.0,2.0,,NA,0.0,,,11,0,1,1,0,1,F2,52517
0,,,1.0,,,,1.0,1,1,1,1,0,0,F2,52518
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,0,F2,52531
1,2.0,3.0,,NA,1.0,1.0,,11,0,1,0,0,0,F2,52532
0,,,1.0,,,,2.0,2,1,1,0,0,0,F2,52533
0,,,1.0,0,,,1.0,2,1,1,0,0,1,F2,52560
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,52565
0,,,1.0,,,,1.0,10,1,1,0,0,1,F2,52569
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52575
1,2.0,3.0,,NA,0.0,,,11,0,1,0,0,0,F2,52576
0,,,1.0,,,,1.0,2,1,1,0,0,0,F2,52577
0,,,1.0,,,,1.0,10,1,1,0,1,0,F2,52580
0,,,1.0,,,,1.0,10,1,1,0,1,1,F2,52583
1,2.0,4.0,,NA,0.0,,,10,0,1,1,0,0,F2,52592
0,,,1.0,,,,1.0,2,1,1,1,0,1,F2,52596
1,2.0,3.0,,NA,0.0,,,11,0,1,1,0,1,F2,52601
0,,,1.0,,,,1.0,2,1,1,1,0,0,F2,52602
0,,,0.0,NA,,,0.0,10,1,1,0,1,1,F2,52615
1,11.0,1.0,,NA,0.0,,,10,0,1,0,1,0,F2,52617
1,2.0,3.0,,NA,1.0,1.0,,11,0,1,0,1,0,F2,52618
0,,,1.0,,,,2.0,2,1,1,0,1,0,F2,52619
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,52630
0,,,1.0,,,,1.0,10,1,1,0,1,1,F2,52663
0,,,1.0,,,,1.0,10,1,1,0,1,1,F2,52668
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,0,F2,52672
1,2.0,3.0,,NA,1.0,3.0,,11,0,1,0,0,0,F2,52684
0,,,1.0,,,,2.0,2,1,1,0,0,0,F2,52685
0,,,1.0,,,,1.0,2,1,1,0,0,1,F2,52691
0,,,1.0,,,,1.0,2,1,1,0,0,1,F2,52699
0,,,1.0,,,,1.0,2,1,1,0,0,1,F2,52707
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,52716
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,52721
1,2.0,3.0,,NA,0.0,,,11,0,1,0,0,0,F2,52724
0,,,1.0,0,,,2.0,2,1,1,0,0,0,F2,52730
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,F2,52752
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,F2,52757
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,0,1,F2,52771
1,2.0,3.0,,NA,0.0,,,11,0,1,0,0,1,F2,52772
0,,,1.0,,,,1.0,2,1,1,0,0,0,F2,52773
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,52775
1,12.0,2.0,,NA,0.0,,,10,0,1,0,1,0,F2,52778
0,,,0.0,NA,,,0.0,12,1,1,0,1,0,F2,52779
1,12.0,2.0,,NA,1.0,6.0,,10,0,1,0,0,0,F2,52794
1,1.0,2.0,,NA,1.0,5.0,,11,0,1,0,0,0,F2,52795
0,,,1.0,,,,2.0,1,1,1,0,0,0,F2,52796
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52811
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52813
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,52824
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52837
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,52847
0,,,0.0,NA,,,0.0,12,1,1,0,0,1,F2,52851
0,,,1.0,,,,,12,1,1,0,0,1,F2,52852
1,2.0,3.0,,NA,0.0,,,11,0,1,0,0,1,F2,52854
0,,,1.0,,,,1.0,2,1,1,0,0,0,F2,52855
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,1,F2,52861
0,,,0.0,NA,,,0.0,1,1,1,0,0,0,F2,52862
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,52871
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,1,F2,52876
0,,,0.0,NA,,,0.0,1,1,1,0,0,0,F2,52877
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,52927
0,,,1.0,,,,,12,1,1,0,0,1,F2,52938
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,52941
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,52943
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,0,F2,52944
0,,,1.0,,,,1.0,2,1,1,0,0,0,F2,52945
1,12.0,2.0,,NA,1.0,3.0,,10,0,1,0,0,1,F2,52953
1,1.0,2.0,,NA,1.0,3.0,,11,0,1,0,0,0,F2,52954
0,,,0.0,NA,,,0.0,1,1,1,0,0,0,F2,52955
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,52992
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,52997
0,,,0.0,NA,,,0.0,1,1,1,0,0,1,F2,53002
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,53010
0,,,0.0,NA,,,0.0,1,1,1,0,0,0,F2,53011
0,,,1.0,,,,,12,1,1,0,0,1,F2,53024
0,,,0.0,NA,,,0.0,12,1,1,0,0,1,F2,53026
0,,,1.0,,,,1.0,10,1,1,0,1,0,F2,53028
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,1,0,F2,53031
1,4.0,4.0,,NA,0.0,,,12,0,1,0,1,0,F2,53032
0,,,1.0,,,,1.0,4,1,1,0,1,0,F2,53033
1,4.0,4.0,,NA,1.0,1.0,,12,0,1,0,1,1,F2,53037
0,,,0.0,NA,,,0.0,4,1,1,0,1,0,F2,53038
0,,,0.0,NA,,,0.0,4,1,1,0,1,1,F2,53058
1,4.0,4.0,,NA,0.0,,,12,0,1,0,1,1,F2,53063
0,,,1.0,,,,1.0,4,1,1,0,1,0,F2,53064
1,11.0,1.0,,NA,1.0,1.0,,10,0,1,0,1,0,F2,53067
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,0,F2,53068
0,,,1.0,,,,1.0,1,1,1,0,1,0,F2,53069
