Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
yes,2.0,yes,1.0,unknow,yes,F,A,B10,41229
no,,,,unknow,yes,F,L,B10,41230
yes,2.0,yes,5.0,unknow,yes,F,A,B10,41240
no,,,,unknow,yes,F,L,B10,41241
yes,2.0,yes,1.0,unknow,yes,V,L,B10,41242
no,,,,unknow,yes,F,L,B10,41243
no,,,,unknow,yes,V,L,B10,41244
no,,,,unknow,yes,F,A,B10,41330
no,,,,unknow,yes,V,L,B10,41331
no,,,,unknow,yes,V,L,B10,41332
yes,2.0,yes,2.0,unknow,yes,F,L,B10,41333
no,,,,unknow,yes,V,L,B10,41334
no,,,,unknow,yes,F,L,B10,41335
no,,,,unknow,yes,F,A,B10,41355
no,,,,unknow,yes,F,A,B10,41357
yes,10.0,no,,unknow,yes,F,A,B10,41359
yes,9.0,yes,2.0,unknow,yes,V,A,B10,41381
yes,9.0,no,,unknow,yes,V,L,B10,41382
no,,,,unknow,yes,F,L,B10,41383
yes,9.0,no,,unknow,yes,V,L,B10,41384
yes,9.0,yes,1.0,unknow,yes,V,A,B10,41570
no,,,,unknow,yes,V,L,B10,41571
no,,,,unknow,yes,V,L,B10,41572
yes,9.0,no,,unknow,yes,V,L,B10,41573
no,,,,unknow,yes,F,A,B10,41689
no,,,,unknow,yes,V,A,B10,41691
yes,12.0,yes,2.0,unknow,yes,V,A,B10,41692
yes,12.0,yes,1.0,unknow,yes,V,L,B10,41693
no,,,,unknow,yes,V,A,B10,41777
yes,12.0,yes,2.0,unknow,yes,V,A,B10,41780
yes,12.0,no,,unknow,yes,V,L,B10,41781
no,,,,unknow,yes,F,L,B10,41782
yes,2.0,yes,2.0,unknow,yes,F,L,B10,41783
yes,12.0,yes,3.0,unknow,yes,F,A,B10,41858
no,,,,unknow,yes,V,A,B10,41879
yes,12.0,yes,2.0,unknow,yes,F,A,B10,41880
yes,12.0,yes,1.0,unknow,yes,F,L,B10,41881
yes,12.0,yes,2.0,unknow,yes,V,L,B10,41882
yes,12.0,yes,5.0,unknow,yes,F,A,B10,41914
yes,12.0,yes,1.0,unknow,yes,F,L,B10,41915
yes,12.0,yes,4.0,unknow,yes,F,L,B10,41916
no,,,,unknow,yes,F,L,B10,41917
yes,12.0,yes,3.0,unknow,yes,F,L,B10,41918
no,,,,unknow,yes,F,A,B10,42075
yes,9.0,yes,2.0,unknow,yes,F,A,B10,42079
yes,9.0,no,,unknow,yes,V,L,B10,42080
no,,,,unknow,yes,F,L,B10,42081
yes,9.0,yes,1.0,unknow,yes,V,L,B10,42082
yes,9.0,yes,3.0,unknow,yes,V,L,B10,42083
yes,9.0,yes,1.0,unknow,yes,V,A,B10,42358
yes,12.0,no,,unknow,yes,V,L,B10,42359
no,,,,unknow,yes,V,L,B10,42360
yes,12.0,no,,unknow,yes,V,A,B10,42511
yes,9.0,yes,2.0,unknow,yes,V,L,B10,42512
no,,,,unknow,yes,V,L,B10,42513
no,,,,unknow,yes,F,A,B10,42586
yes,12.0,yes,5.0,unknow,yes,F,A,B10,42590
no,,,,unknow,yes,F,L,B10,42591
yes,12.0,yes,4.0,unknow,yes,F,L,B10,42592
yes,12.0,yes,3.0,unknow,yes,F,L,B10,42593
no,,,,unknow,yes,F,L,B10,42594
yes,12.0,yes,4.0,unknow,yes,F,L,B10,42595
no,,,,unknow,yes,F,A,B10,42839
yes,12.0,yes,4.0,unknow,yes,F,A,B10,42841
yes,12.0,yes,3.0,unknow,yes,F,L,B10,42842
yes,12.0,yes,1.0,unknow,yes,F,L,B10,42843
no,,,,unknow,yes,V,L,B10,42844
no,,,,unknow,yes,V,L,B10,42845
yes,12.0,yes,1.0,unknow,yes,F,A,B10,42937
no,,,,unknow,yes,F,A,B10,42943
