"burst_date_mother","position_mother_L","probas"
"04-08","0",0.784616098762547
"04-09","0",0.862358074378707
"04-10","0",0.333333333333378
"04-12","0",0.602611097741567
"05-01","0",0.686917159032645
"04-08","1",0.430767802474904
"04-09","1",0.565502188206012
"04-10","1",0.0940941984765407
"04-12","1",0.239552383244317
"05-01","1",0.313082840967356
"04-05","0",0
"04-06","0",0
"04-07","0",0
"04-11","0",0
"05-02","0",0
"05-03","0",0
"05-04","0",0
"05-05","0",0
"05-06","0",0
"05-07","0",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
"04-11","1",0
"05-02","1",0
"05-03","1",0
"05-04","1",0
"05-05","1",0
"05-06","1",0
"05-07","1",0
