ER;UC;position; Area; Length; Width
7;2;A;6564;231.1;47.5
7;2;A;4530;191.5;40.4
7;2;A;3055;139.4;34.3
7;2;A;3952;171.7;36.6
7;2;A;4205;166.1;38.4
7;2;A;5439;209.0;45.0
7;2;A;4840;178.6;42.2
7;2;A;4180;166.6;38.9
7;2;A;4615;192.5;39.4
7;2;A;2459;132.3;30.5
7;2;A;4873;184.4;41.1
7;2;A;5703;204.2;45.0
7;2;A;7759;241.6;51.6
7;2;A;5899;196.1;45.7
7;2;A;7986;253.7;52.8
7;2;A;6026;208.3;45.2
7;3;L;6591;196.1;50.8
7;3;L;5771;176.3;46.7
7;3;L;1656;102.9;29.0
7;3;L;4703;162.8;44.4
7;3;L;5992;181.6;48.8
7;3;L;5742;192.5;47.8
7;3;L;4907;172.2;42.2
7;3;L;3154;135.1;35.3
7;3;L;3429;147.8;37.3
7;3;L;3966;143.0;41.4
7;3;L;4755;174.0;42.7
8;1;L;1744;108.5;27.7
8;1;L;480;56.4;16.8
8;1;L;2608;135.1;30.7
8;1;L;2238;132.3;29.2
8;1;L;3121;158.0;32.3
8;1;L;2896;148.3;31.5
8;1;L;3398;152.9;34.8
8;1;L;2107;121.9;27.4
8;1;L;3207;152.1;33.0
8;1;L;2970;121.7;44.7
8;1;L;3204;147.6;32.8
8;1;L;2812;152.9;31.5
8;1;L;3479;163.6;34.5
8;1;L;2962;138.4;31.7
8;2;A;2419;122.9;29.5
8;2;A;4060;149.9;38.4
8;2;A;4043;157.7;39.1
8;2;A;3469;138.2;36.1
8;2;A;2682;145.3;30.0
8;2;A;2137;118.1;29.5
8;2;A;5560;170.9;46.7
8;2;A;4791;168.9;42.9
8;2;A;3393;158.2;33.5
8;2;A;3689;152.1;35.3
8;2;A;1290;80.5;23.4
8;2;A;3658;140.2;37.1
8;2;A;4727;189.0;41.7
8;2;A;4045;170.4;38.6
8;2;A;6270;209.8;46.2
8;2;A;5689;203.2;45.2
8;3;A;2853;153.9;32.8
8;3;A;3873;163.6;36.1
8;3;A;5473;191.8;43.7
8;3;A;4465;162.3;39.6
8;3;A;5543;195.3;46.0
8;3;A;5019;191.5;43.2
8;3;A;4417;179.1;39.4
8;3;A;4193;174.2;38.9
8;3;A;1490;71.4;34.8
8;3;A;2722;137.9;30.0
8;3;A;2876;168.9;35.1
8;3;A;1079;91.9;19.8
8;3;A;4412;175.5;37.6
8;3;A;4570;190.8;40.6
8;3;A;3072;137.2;33.8
8;3;A;2375;130.8;27.9
8;4;L;3999;162.6;37.6
8;4;L;1404;91.9;22.1
8;4;L;4174;165.9;38.9
8;4;L;5561;187.7;46.5
8;4;L;3653;158.2;35.3
8;4;L;4647;164.1;42.4
8;4;L;2269;122.9;30.5
8;4;L;4042;168.4;37.1
8;4;L;2475;128.3;29.7
8;4;L;5821;196.8;46.0
