ER;UC;position; Area; Length; Width
1;1;A;2001;125.5;25.9
1;1;A;2200;130.3;26.4
1;1;A;2255;133.6;28.4
1;1;A;2091;129.3;26.9
1;1;A;2649;166.1;28.7
1;1;A;2491;135.9;28.2
1;1;A;2644;161.5;27.9
1;1;A;3159;165.1;31.5
1;1;A;3102;131.1;33.3
1;1;A;4362;191.3;36.6
1;1;A;3060;150.6;30.7
1;1;A;3261;148.3;32.5
1;1;A;3312;159.0;32.3
1;1;A;3149;151.4;31.7
1;1;A;4093;177.3;35.8
1;1;A;3484;184.4;33.5
1;1;A;4357;178.3;38.6
1;1;A;5032;212.6;39.1
1;1;A;3873;166.6;35.6
1;2;A;2767;133.9;32.8
1;2;A;2042;121.9;26.9
1;2;A;2668;135.4;31.0
1;2;A;3070;144.5;32.8
1;2;A;3256;153.2;33.8
1;2;A;3551;180.6;33.8
1;2;A;3483;172.2;33.0
1;2;A;3435;166.1;33.3
1;2;A;4121;171.7;37.1
1;2;A;4995;204.0;41.9
1;2;A;4998;201.4;39.6
1;2;A;5072;194.6;40.6
1;2;A;4754;208.5;38.9
1;2;A;4632;183.1;39.4
1;2;A;4792;191.3;39.4
1;2;A;5556;203.5;42.4
1;2;A;3711;166.1;34.5
1;2;A;2459;154.2;28.4
1;3;L;2131;140.2;27.7
1;3;L;2062;106.7;29.5
1;3;L;2317;131.8;29.2
1;3;L;1204;91.9;23.1
1;3;L;3889;175.5;34.8
1;3;L;2984;142.0;32.3
1;3;L;3257;152.4;33.5
1;3;L;3119;145.3;33.0
1;3;L;3711;158.2;36.1
1;3;L;2964;147.1;32.3
1;3;L;4461;187.2;39.4
1;4;L;1421;103.4;22.6
1;4;L;1256;102.4;19.8
1;4;L;2635;137.9;30.2
1;4;L;2829;148.3;31.0
1;4;L;4010;161.5;38.6
1;4;L;3419;157.2;34.5
1;4;L;4001;172.0;38.6
1;4;L;4080;176.5;36.3
1;4;L;3216;150.1;32.8
1;5;L;1154;96.0;19.8
1;5;L;1451;104.1;23.1
1;5;L;2905;144.3;32.8
1;5;L;2404;134.6;28.7
1;5;L;3656;155.4;35.3
1;5;L;4915;176.3;46.2
1;5;L;4384;173.0;38.9
1;5;L;4479;179.1;39.4
1;5;L;2536;112.8;32.3
1;6;L;2542;113.5;32.3
1;6;L;2072;119.9;27.2
1;6;L;897;79.5;18.5
1;6;L;1774;110.0;25.9
1;6;L;3513;169.4;36.1
1;6;L;3253;151.9;33.0
1;6;L;4109;171.2;37.6
1;6;L;4276;177.3;36.8
1;6;L;3358;158.2;34.8
1;6;L;2729;142.5;31.0
2;1;A;6457;206.2;49.5
2;1;A;1937;113.3;29.0
2;1;A;5341;188.7;44.2
2;1;A;5431;180.1;48.3
2;1;A;7216;234.4;51.6
2;1;A;6296;192.8;49.3
2;1;A;5355;158.0;54.6
2;1;A;5639;196.3;45.7
2;1;A;5334;173.7;46.7
2;1;A;5117;174.2;54.4
2;1;A;3664;133.1;38.4
2;1;A;4685;173.2;42.7
2;1;A;6084;198.6;48.3
2;1;A;5676;210.1;48.3
2;1;A;7188;204.5;52.1
2;1;A;3970;152.4;39.4
2;2;A;4971;175.0;40.4
2;2;A;1147;92.7;20.8
2;2;A;4774;185.2;39.9
2;2;A;5277;188.2;43.9
2;2;A;2831;140.7;31.2
2;2;A;5068;185.2;40.9
2;2;A;6322;204.2;47.2
2;2;A;5165;175.5;42.2
2;2;A;7773;241.3;49.3
2;2;A;6842;228.1;47.5
2;2;A;7836;240.3;48.8
2;2;A;5532;208.3;45.0
2;2;A;6987;227.8;51.8
2;2;A;5165;204.0;44.7
2;2;A;6011;199.9;47.0
2;2;A;7099;238.5;48.8
2;2;A;7592;235.7;49.5
2;2;A;7516;212.9;49.0
2;3;L;3862;154.4;37.3
2;3;L;2857;135.6;32.8
2;3;L;3642;147.8;36.8
2;3;L;5012;193.0;40.9
2;3;L;6017;199.1;46.0
2;3;L;3276;154.4;33.3
2;3;L;4754;186.9;39.1
4;1;A;3020;138.9;34.3
4;1;A;3020;140.5;35.1
4;1;A;4144;162.8;39.4
4;1;A;3836;164.1;36.8
4;1;A;4730;194.3;40.9
4;1;A;5533;185.9;46.7
4;1;A;4343;172.5;39.9
4;1;A;4563;182.6;39.6
4;1;A;5237;200.7;43.4
4;1;A;4592;179.6;41.4
4;1;A;5632;200.9;43.9
4;1;A;4549;167.6;40.9
4;1;A;5776;211.6;42.9
4;1;A;6370;220.5;46.5
4;1;A;4293;158.2;41.1
4;1;A;1558;99.8;24.9
4;1;A;665;71.4;14.7
4;2;A;2719;144.0;31.7
4;2;A;3918;166.6;36.6
4;2;A;2212;134.1;26.9
4;2;A;4147;173.2;38.1
4;2;A;4070;170.9;37.3
4;2;A;4767;199.4;42.9
4;2;A;6307;223.5;48.8
4;2;A;4570;192.0;37.8
4;2;A;4794;188.7;40.4
4;2;A;5644;213.6;42.9
4;2;A;3807;193.5;36.3
4;2;A;5388;227.8;43.7
4;2;A;5576;209.8;43.9
4;2;A;5766;218.4;43.7
4;2;A;5228;198.9;42.2
4;2;A;5226;215.1;42.4
4;2;A;6103;235.7;45.2
4;2;A;4677;206.5;39.6
4;2;A;2328;133.3;27.9
4;2;A;680;74.2;15.0
4;2;A;2830;154.4;32.3
4;2;A;2539;148.8;26.9
4;3;L;2626;138.2;29.7
4;3;L;2933;151.9;30.7
4;3;L;2610;143.8;28.7
4;3;L;4444;191.8;37.3
4;3;L;3728;166.1;35.6
4;3;L;4426;178.6;38.6
4;3;L;774;76.5;16.8
4;3;L;2884;146.3;30.2
4;3;L;1126;91.7;19.8
4;4;L;1994;124.7;25.7
4;4;L;3600;169.4;35.1
4;4;L;2574;139.2;29.7
4;5;L;5467;223.5;43.4
4;5;L;5028;207.3;39.6
4;5;L;3020;155.4;31.5
4;5;L;4356;187.5;36.3
4;5;L;4661;202.4;39.1
4;5;L;3533;160.8;33.0
4;5;L;4191;177.5;37.1
4;5;L;3369;168.7;33.5
4;5;L;2739;140.7;31.7
4;5;L;2867;148.1;30.0
4;5;L;2653;138.4;29.5
4;5;L;5135;214.4;39.6
4;5;L;1548;110.0;22.1
4;5;L;1048;75.4;20.3
5;1;L;3058;138.9;33.0
5;1;L;2837;131.6;31.0
5;1;L;3648;154.2;36.8
5;1;L;4217;162.6;39.1
5;1;L;4336;178.6;40.9
5;1;L;4352;181.9;37.1
5;1;L;4807;181.4;40.9
5;2;A;2114;127.5;25.9
5;2;A;2586;140.0;29.2
5;2;A;4663;185.7;38.1
5;2;A;4079;171.4;35.8
5;2;A;4464;185.9;38.4
5;2;A;3823;172.2;34.0
5;2;A;4646;189.7;38.6
5;2;A;6312;218.7;43.9
5;2;A;4682;199.1;38.6
5;2;A;5649;207.5;42.7
5;2;A;5628;220.2;48.0
5;2;A;2315;132.1;26.9
5;2;A;7885;258.6;49.3
5;2;A;7495;256.8;47.8
5;2;A;6049;229.1;43.7
5;2;A;5549;204.5;43.2
6;1;L;1646;109.7;23.9
6;1;L;3565;159.3;35.3
6;1;L;1927;120.6;24.9
6;1;L;2834;140.5;31.2
6;1;L;2789;136.7;33.8
6;1;L;1336;102.4;35.8
6;1;L;2265;111.8;27.9
6;1;L;4140;181.4;37.1
6;1;L;2988;149.4;30.7
6;1;L;3852;168.9;34.8
6;2;A;2663;138.4;29.5
6;2;A;1282;77.2;23.1
6;2;A;2065;125.0;25.9
6;2;A;2610;135.1;29.7
6;2;A;2203;129.0;26.7
6;2;A;4031;172.2;37.6
6;2;A;2317;125.7;27.2
6;2;A;3754;162.3;36.3
6;2;A;2394;131.8;26.9
6;2;A;3510;158.0;35.6
6;2;A;4162;175.3;38.1
6;2;A;3883;164.6;35.8
6;2;A;3403;160.5;34.5
11;1;A;2685;132.8;31.5
11;1;A;2001;108.2;26.4
11;1;A;2606;122.4;32.0
11;1;A;3538;167.6;35.3
11;1;A;2648;162.3;31.2
11;1;A;5813;193.0;46.0
11;1;A;4565;194.6;40.1
11;1;A;6363;197.4;45.7
11;1;A;5358;190.0;43.2
11;1;A;4746;175.8;38.4
11;1;A;3588;149.4;35.3
11;1;A;5520;201.9;46.7
11;1;A;4200;176.3;39.1
11;1;A;7407;238.8;49.3
11;1;A;6076;204.0;47.5
11;1;A;5664;197.4;42.9
11;1;A;3855;186.2;36.6
11;1;A;7251;241.3;49.3
11;1;A;8000;256.8;53.1
11;1;A;7939;253.2;51.6
11;2;A;3296;147.1;35.1
11;2;A;3626;160.5;38.1
11;2;A;3728;147.6;37.6
11;2;A;3360;159.0;34.5
11;2;A;4558;170.7;39.9
11;2;A;6095;205.7;46.2
11;2;A;4136;149.6;40.4
11;2;A;4408;179.1;37.3
11;2;A;5854;193.0;46.0
11;2;A;5406;193.5;45.7
11;2;A;5040;177.8;40.6
11;2;A;4854;171.2;43.2
11;2;A;6182;201.9;47.5
11;2;A;5271;200.4;40.1
11;3;A;2465;129.5;29.7
11;3;A;2112;121.7;26.9
11;3;A;1609;108.7;23.9
11;3;A;3893;163.8;36.8
11;3;A;3813;168.9;40.9
11;3;A;4446;174.8;38.6
11;3;A;3634;156.0;36.1
11;3;A;3821;158.0;36.8
11;3;A;4796;182.4;40.6
11;3;A;4527;184.1;40.6
11;3;A;5044;192.3;42.7
11;3;A;5644;198.9;43.9
11;3;A;6025;223.0;46.0
11;3;A;4867;193.8;43.7
11;3;A;5412;198.4;42.2
11;3;A;4771;190.0;39.6
11;3;A;5057;189.2;40.6
11;3;A;5186;188.0;41.9
11;4;L;1824;110.2;26.2
11;5;L;2946;138.2;32.8
11;5;L;4064;158.0;40.6
11;5;L;3465;152.1;35.1
11;5;L;1439;97.5;23.9
11;5;L;2809;139.2;31.2
11;5;L;2643;138.2;30.2
11;5;L;3317;134.6;39.1
11;6;L;3113;137.9;34.5
11;6;L;4538;172.2;42.2
11;6;L;3619;144.5;37.6
11;6;L;5066;183.9;43.7
11;6;L;3502;156.2;34.8
11;6;L;3474;153.7;35.1
11;6;L;1978;114.3;28.4
11;6;L;1299;97.8;22.4
11;6;L;3225;146.6;33.3
11;7;L;1838;112.3;26.7
11;7;L;1647;105.7;25.1
11;7;L;2862;131.8;32.5
11;7;L;3728;149.9;38.6
11;7;L;3458;144.0;35.6
11;7;L;4239;155.2;40.4
12;1;L;1343;88.1;22.6
12;1;L;1214;86.6;22.4
12;1;L;1929;108.7;27.9
12;1;L;2538;123.2;32.8
12;1;L;3776;156.5;36.6
12;1;L;2257;115.8;29.0
12;1;L;2714;134.6;31.2
12;1;L;3415;144.3;36.3
12;1;L;2287;126.0;28.7
12;1;L;3871;159.5;37.3
