traitement;Bloc;plant;uc;localisation;position;pt_card;flor2011;sortieUC;Long;diametre;NbFeu;fhlong;fhlarg;fhsfol;fblong;fblarg;fbsfol
temoin;BL2;E5;11;R1;A;E;1;2011;19,6;7,4;8;15,7;3,4;39,5;17,8;4;52,69
temoin;BL2;E5;12;R1;A;E;1;2011;19,5;7,18;14;11,6;2,6;22,32;19;4;56,24
temoin;BL2;E5;13;R1;L;E;1;2011;15,7;6,34;3;16,5;3,6;43,96;16,5;3,6;43,96
temoin;BL2;E5;14;R1;A;E;0;S9;3,2;3,02;6;8,8;2,4;15,63;9,9;2,5;18,32
temoin;BL2;E5;15;R1;A;E;1;2011;12,8;6,56;15;9,8;2,6;18,86;20,7;4,6;70,46
temoin;BL2;E5;16;R 2;A;O;0;S9;13,9;6,56;12;15;3,8;42,18;20;5,2;76,96
temoin;BL2;E5;17;R 2;A;O;0;2011;15,6;6,75;17;9,5;2,5;17,58;18,6;4,8;66,07
temoin;BL2;E5;18;R 2;L;O;1;2011;12,2;4,72;7;11,9;2,6;22,9;15,9;3,5;41,18
temoin;BL2;E5;19;R 2;L;O;0;S9;10,4;3,93;9;11,9;2,6;22,9;11,7;2,4;20,78
temoin;BL2;E5;20;R 2;L;O;1;2011;14;9,5;5;18;4;53,28;19,8;4,5;65,93
temoin;BL2;E6;1;IL 1;A;N;1;2011;11,5;5,8;13;13,2;3,4;33,21;15;4,3;47,73
temoin;BL2;E6;2;IL 1;L;N;0;S9;9,1;4,45;8;13,5;3,4;33,97;18,7;5;69,19
temoin;BL2;E6;3;IL 1;L;N;1;2011;18;5,56;11;10,6;2,4;18,83;15,6;3,5;40,4
temoin;BL2;E6;4;IL 1;L;N;0;S9;9,7;4,97;11;10,1;2,6;19,43;14;3,6;37,3
temoin;BL2;E6;5;IL 1;L;N;0;S9;15,8;4,6;10;9,2;2,4;16,34;13,1;3,6;34,9
temoin;BL2;E6;6;IL 2;L;S;0;S9;8,9;3,62;5;12,8;3,4;32,2;14,5;4,3;46,14
temoin;BL2;E6;7;IL 2;A;S;0;S9;4,5;3,95;9;10,2;2,5;18,87;13,7;3,2;32,44
temoin;BL2;E6;8;IL 2;L;S;0;S9;8;3,68;7;12,6;3,3;30,77;18,1;4,3;57,59
temoin;BL2;E6;9;IL 2;L;S;1;2011;11,7;5,19;6;9,1;2,6;17,51;15,9;3,7;43,53
temoin;BL2;E6;10;IL 2;L;S;0;S9;5,3;3,38;6;12,1;2,9;25,97;16,6;3,9;47,91
temoin;BL2;E6;11;R1;L;E;0;S9;10,2;4,55;8;13,4;3,1;30,74;15,1;3,6;40,23
temoin;BL2;E6;12;R1;L;E;1;2011;13,1;7,54;7;15;3,3;36,63;12;3,3;29,3
temoin;BL2;E6;13;R1;L;E;0;S9;6,5;3,17;8;10,2;2,5;18,87;14,9;3,5;38,59
temoin;BL2;E6;14;R1;A;E;1;2011;6,9;4,63;6;13,3;3,1;30,51;13,3;2,8;27,56
temoin;BL2;E6;15;R1;L;E;0;S9;14,7;4,37;9;10,1;2,3;17,19;17,2;3,8;48,37
temoin;BL2;E6;16;R 2;L;O;1;2011;12,7;5,4;6;12,8;3,5;33,15;13,2;3,7;36,14
temoin;BL2;E6;17;R 2;A;O;0;S9;9,2;5,53;15;11,3;3,3;27,59;17,6;4,5;58,61
temoin;BL2;E6;18;R 2;A;O;1;2011;16,3;6,81;13;16,1;4,1;48,85;15,3;5,3;60,01
temoin;BL2;E6;19;R 2;A;O;1;2011;15,9;6,82;13;19,2;4,3;61,09;15,2;3,6;40,49
temoin;BL2;E6;20;R 2;L;O;1;2011;11,3;5,35;6;15,5;3,8;43,59;15,2;4,3;48,37
taille-mars2012;BL2;E7;1;IL 1;L;N;0;S9;15,7;5,41;14;8,2;2,2;13,35;16,6;3,9;47,91
taille-mars2012;BL2;E7;2;IL 1;L;N;0;S9;9,5;4,21;10;12,1;3;26,86;12;4;35,52
taille-mars2012;BL2;E7;3;IL 1;A;N;0;S9;7;5,91;13;13;2,9;27,9;18,1;4,2;56,25
taille-mars2012;BL2;E7;4;IL 1;A;N;0;S9;11,8;5,34;16;9,8;2,3;16,68;15,1;3,4;37,99
taille-mars2012;BL2;E7;5;IL 1;L;N;0;S9;2,1;2,84;3;9,5;2,7;18,98;9,5;2,7;18,98
taille-mars2012;BL2;E7;6;IL 2;L;S;0;S9;9,4;4,67;10;14,6;3,1;33,49;20,5;5,1;77,37
taille-mars2012;BL2;E7;7;IL 2;L;S;1;2011;15,1;4,7;5;17,7;4,1;53,7;17;4,4;55,35
taille-mars2012;BL2;E7;8;IL 2;L;S;1;2011;15;4,37;7;15,6;4;46,18;18,4;4,7;64
taille-mars2012;BL2;E7;9;IL 2;L;S;0;S9;12,1;4,62;9;13,6;3,2;32,2;22,3;5,2;85,81
taille-mars2012;BL2;E7;10;IL 2;L;S;0;S9;7,5;3,48;10;11,6;2,7;23,18;19,1;4,7;66,43
taille-mars2012;BL2;E7;11;R1;A;E;1;2011;14,5;5,45;6;17,5;3,8;49,21;17;4,5;56,61
taille-mars2012;BL2;E7;12;R1;A;E;0;S9;6,8;5,54;13;13,5;3,7;36,96;16,4;4,4;53,4
taille-mars2012;BL2;E7;13;R1;L;E;0;S9;10,7;4,37;13;12,7;3,1;29,13;17,6;4,8;62,52
taille-mars2012;BL2;E7;14;R1;A;E;0;2011;16,1;4,45;4;8,3;2,4;14,74;8,8;2,3;14,98
taille-mars2012;BL2;E7;15;R1;L;E;0;S9;8,4;4;9;11,4;2,9;24,46;18,5;5,7;78,03
taille-mars2012;BL2;E7;16;R 2;A;O;0;S9;4,3;4,16;10;13,2;3,7;36,14;14,3;4,2;44,44
taille-mars2012;BL2;E7;17;R 2;L;O;0;S9;6,8;4,11;12;10,9;3,1;25;17,7;4,8;62,87
taille-mars2012;BL2;E7;18;R 2;L;O;1;2011;9,5;3,98;5;13;2,8;26,94;17,9;4,3;56,96
taille-mars2012;BL2;E7;19;R 2;A;O;0;S9;4,5;4,61;7;12,5;4,4;40,7;10,9;5,5;44,36
taille-mars2012;BL2;E7;20;R 2;L;O;1;2011;8,7;3,73;8;10,7;2,6;20,59;14;3,2;33,15
taille-mars2012;BL2;E8;1;IL 1;L;N;1;2011;19;5,6;9;10,3;2,4;18,29;16;4,2;49,73
taille-mars2012;BL2;E8;2;IL 1;A;N;1;2011;8,2;4,76;12;9,5;2,6;18,28;10,3;4,2;32,01
taille-mars2012;BL2;E8;3;IL 1;L;N;0;S9;6,2;3,43;5;11,5;2,8;23,83;14,1;3,7;38,61
taille-mars2012;BL2;E8;4;IL 1;A;N;0;S9;10;5,61;17;15;4;44,4;18,6;4,7;64,69
taille-mars2012;BL2;E8;5;IL 1;A;N;0;S9;7,7;4,11;13;10,4;2,7;20,78;16,1;4,3;51,23
taille-mars2012;BL2;E8;6;IL 2;A;S;0;S9;9,6;4,27;13;13,2;3,5;34,19;10,6;3,3;25,89
taille-mars2012;BL2;E8;7;IL 2;L;S;1;2011;14,2;4,51;10;11,6;2,5;21,46;19,5;4,5;64,94
taille-mars2012;BL2;E8;8;IL 2;A;S;0;S9;5,1;4,33;12;13,3;3,7;36,42;16,7;4,8;59,32
taille-mars2012;BL2;E8;9;IL 2;A;S;1;2011;16,2;6,2;8;14,4;3,6;38,36;19,1;4,6;65,02
taille-mars2012;BL2;E8;10;IL 2;L;S;0;S9;4,4;3,12;8;9;2,8;18,65;11,9;3,2;28,18
taille-mars2012;BL2;E8;11;R1;A;E;0;2011;20,2;6;13;5,5;1,9;7,73;9,5;2,5;17,58
taille-mars2012;BL2;E8;12;R1;L;E;1;2011;12,7;3,96;4;15,5;3,9;44,73;15,7;4,1;47,63
taille-mars2012;BL2;E8;13;R1;A;E;0;S9;7;5,49;13;11,4;3;25,31;18,2;4,8;64,65
taille-mars2012;BL2;E8;14;R1;L;E;0;S9;5,6;3,06;6;11;2,4;19,54;11;2,5;20,35
taille-mars2012;BL2;E8;15;R1;A;E;0;S9;6,7;5,05;12;13,1;2,8;27,14;16,1;4,3;51,23
taille-mars2012;BL2;E8;16;R 2;L;O;1;2011;15,5;3,82;9;13,1;2,9;28,11;16,6;3,6;44,22
taille-mars2012;BL2;E8;17;R 2;L;O;0;S9;11,2;4,3;11;12,5;3,1;28,68;10,2;2,7;20,38
taille-mars2012;BL2;E8;18;R 2;A;O;0;2011;7;3,23;8;10;2,6;19,24;12,4;2,8;25,69
taille-mars2012;BL2;E8;19;R 2;L;O;0;S9;7,5;3,07;6;9;2,3;15,32;12,2;3,2;28,89
taille-mars2012;BL2;E8;20;R 2;L;O;1;2011;15,5;5,25;9;12;2,8;24,86;19,6;4,7;68,17
taille-mars2012;BL2;E9;1;IL 1;L;N;0;S9;11,6;5,24;13;10,7;3,3;26,13;14,1;3,8;39,65
taille-mars2012;BL2;E9;2;IL 1;A;N;0;S9;5,1;4,34;11;12,3;3,1;28,22;15,6;4,1;47,33
taille-mars2012;BL2;E9;3;IL 1;L;N;0;2011;7,2;3,06;4;13;2,5;24,05;16,5;3,6;43,96
taille-mars2012;BL2;E9;4;IL 1;A;N;0;S9;4,5;4,22;11;10,8;3;23,98;11,8;3,4;29,69
taille-mars2012;BL2;E9;5;IL 1;L;N;1;2011;11,5;4,3;3;16,7;4;49,43;16,7;4;49,43
taille-mars2012;BL2;E9;6;IL 2;A;S;1;2011;16,7;5,91;16;10,2;2,5;18,87;18,1;4,2;56,25
taille-mars2012;BL2;E9;7;IL 2;A;S;1;2011;15,5;5,92;15;11,6;2,9;24,89;17,9;4,6;60,93
taille-mars2012;BL2;E9;8;IL 2;A;S;1;2011;15,9;6,9;15;14,2;3,7;38,88;18;4,5;59,94
taille-mars2012;BL2;E9;9;IL 2;L;S;0;S9;5,5;3,27;5;5,6;1,4;5,8;10,7;2,6;20,59
taille-mars2012;BL2;E9;10;IL 2;A;S;0;2011;6,8;2,85;8;9,7;2,9;20,82;13,6;4,1;41,26
taille-mars2012;BL2;E9;11;R1;A;E;1;2011;11;5,1;13;12,9;3,1;29,59;17,8;4,2;55,32
taille-mars2012;BL2;E9;12;R1;L;E;0;S10;7,6;4,63;7;14,4;3,6;38,36;17,5;5,1;66,05
taille-mars2012;BL2;E9;13;R1;A;E;0;2011;6,8;3,54;10;6,8;1,7;8,55;10;2,4;17,76
taille-mars2012;BL2;E9;14;R1;L;E;0;S9;9,5;3,46;6;13,4;3,3;32,72;13,9;4,2;43,2
taille-mars2012;BL2;E9;15;R1;A;E;0;S9;4;3,05;6;13;4,4;42,33;15,4;4,2;47,86
taille-mars2012;BL2;E9;16;R 2;A;O;1;2011;12,5;5,84;13;13;3,2;30,78;14,5;3,7;39,7
taille-mars2012;BL2;E9;17;R 2;L;O;0;S9;6,3;3,43;6;10,2;2,4;18,12;15;3,9;43,29
taille-mars2012;BL2;E9;18;R 2;A;O;1;2011;13;4,64;9;10,9;2,6;20,97;17,4;4,1;52,79
taille-mars2012;BL2;E9;19;R 2;L;O;0;S9;7,4;5,37;4;9,3;2,7;18,58;13,5;3,7;36,96
taille-mars2012;BL2;E9;20;R 2;A;O;1;2011;14,8;3,01;16;10,5;2,7;20,98;10,7;4,4;34,84
taille-mars2012;BL2;E10;1;IL 1;A;N;0;S9;7,2;5,9;11;15,4;3,5;39,89;17,7;4,2;55,01
taille-mars2012;BL2;E10;2;IL 1;A;N;1;2011;16,8;4,87;7;13,9;3,5;36;15,5;3,6;41,29
taille-mars2012;BL2;E10;3;IL 1;L;N;0;S9;8,5;4,06;10;11,2;3,4;28,18;14,7;4,2;45,69
taille-mars2012;BL2;E10;4;IL 1;A;N;1;2011;14;5,83;13;12,2;2,9;26,18;14,9;3,4;37,49
taille-mars2012;BL2;E10;5;IL 1;L;N;0;S9;10,1;4,27;9;10,4;2,6;20,01;21,5;5,2;82,73
taille-mars2012;BL2;E10;6;IL 2;L;S;1;2011;8;3,77;7;16,1;3,5;41,7;12,2;3,2;28,89
taille-mars2012;BL2;E10;7;IL 2;A;S;0;S9;4,5;4,61;12;11,9;3;26,42;15,2;4;44,99
taille-mars2012;BL2;E10;8;IL 2;A;S;1;2011;11,2;3,89;8;14,2;3,3;34,68;15,9;3,9;45,89
taille-mars2012;BL2;E10;9;IL 2;A;S;0;S9;6,5;5,42;13;13,9;4;41,14;15,5;4,1;47,03
taille-mars2012;BL2;E10;10;IL 2;L;S;0;S9;7;3,06;9;14,6;3,6;38,89;20,8;5,9;90,81
taille-mars2012;BL2;E10;11;R1;A;E;0;S9;2,8;3,17;7;9,6;2,6;18,47;15,3;4,2;47,55
taille-mars2012;BL2;E10;12;R1;L;E;0;S9;6,8;4,57;8;10,9;3;24,2;17,3;4,7;60,17
taille-mars2012;BL2;E10;13;R1;L;E;0;S9;9,7;5,1;15;11;3,1;25,23;11,7;3,5;30,3
taille-mars2012;BL2;E10;14;R1;L;E;1;2011;12,9;5,46;6;18;4,3;57,28;18,4;4,3;58,55
taille-mars2012;BL2;E10;15;R1;L;E;1;2011;16,6;4,69;7;13,6;3,4;34,22;16,2;4;47,95
taille-mars2012;BL2;E10;16;R 2;L;O;0;S9;5,2;2,56;7;12,6;3,2;29,84;11,3;2,7;22,58
taille-mars2012;BL2;E10;17;R 2;L;O;1;2011;9,7;3,78;4;15;3,9;43,29;14,3;3,6;38,1
taille-mars2012;BL2;E10;18;R 2;L;O;0;2011;11,7;3,59;6;15,6;3,8;43,87;17;4,2;52,84
taille-mars2012;BL2;E10;19;R 2;L;O;0;2011;8,9;3,17;4;14,1;3,3;34,43;16,2;3,3;39,56
taille-mars2012;BL2;E10;20;R 2;A;O;0;S9;9,9;5;12;11,8;2,8;24,45;18,5;5,2;71,19
taille-mars2012;BL2;E11;1;IL 1;L;N;0;S9;5,4;3,36;5;10;2,6;19,24;12,2;3,1;27,99
taille-mars2012;BL2;E11;2;IL 1;L;N;1;2011;10,7;4,86;6;11,8;3;26,2;14,7;3,7;40,25
taille-mars2012;BL2;E11;3;IL 1;L;N;0;2011;6,1;3,72;5;10;2,8;20,72;13,2;3,2;31,26
taille-mars2012;BL2;E11;4;IL 1;A;N;0;S9;5,6;5,39;9;19,2;4,8;68,2;16,6;4,1;50,36
taille-mars2012;BL2;E11;5;IL 1;A;N;0;S9;13,1;5,41;15;17,3;3,8;48,65;22,5;5,4;89,91
taille-mars2012;BL2;E11;6;IL 2;A;S;0;S9;7,2;5,75;11;12,6;3;27,97;19,1;4,5;63,6
taille-mars2012;BL2;E11;7;IL 2;L;S;0;S9;8,2;4,15;6;16;4;47,36;14;5,5;56,98
taille-mars2012;BL2;E11;8;IL 2;A;S;1;2011;12,2;6,28;13;13,7;3,5;35,48;14,6;3,7;39,97
taille-mars2012;BL2;E11;9;IL 2;L;S;0;S9;11,6;4,83;10;12,4;2,8;25,69;20,1;5,8;86,27
taille-mars2012;BL2;E11;10;IL 2;L;S;1;2011;8;3,75;6;10,1;2,3;17,19;12,3;3,5;31,86
taille-mars2012;BL2;E11;11;R1;A;E;0;S9;12,8;4,49;13;11,6;2,6;22,32;19,5;5,3;76,48
taille-mars2012;BL2;E11;12;R1;A;E;0;S9;9,5;6,83;13;18;4,4;58,61;24,3;5,7;102,5
taille-mars2012;BL2;E11;13;R1;L;E;1;2011;13;4,77;5;13,9;3,7;38,06;17,2;4,4;56
taille-mars2012;BL2;E11;14;R1;L;E;0;S9;15;5,8;12;11,3;3;25,09;21,3;5;78,81
taille-mars2012;BL2;E11;15;R1;A;E;0;S9;8;5,07;11;15,7;3,8;44,15;17,7;4,7;61,56
taille-mars2012;BL2;E11;16;R 2;A;O;0;S9;6;4,86;7;19,2;4,1;58,25;23,2;5,6;96,14
taille-mars2012;BL2;E11;17;R 2;A;O;0;S9;11,7;5,28;12;14,5;3,2;34,34;20,8;5;76,96
taille-mars2012;BL2;E11;18;R 2;L;O;0;2011;5,5;2,52;4;10,4;2,5;19,24;15;3,9;43,29
taille-mars2012;BL2;E11;19;R 2;L;O;0;2011;10,2;4,46;6;15,5;3,8;43,59;16;4,3;50,91
taille-mars2012;BL2;E11;20;R 2;A;O;0;S9;6,4;4,35;9;15,5;4,4;50,47;20,1;5,1;75,86
taille-juillet2012;BL2;E12;1;IL 1;A;N;0;S9;7,9;4,47;11;11,8;2,7;23,58;14,8;3,5;38,33
taille-juillet2012;BL2;E12;2;IL 1;L;N;1;2011;9,3;4,81;9;9,7;2,7;19,38;15,8;4,5;52,61
taille-juillet2012;BL2;E12;3;IL 1;A;N;1;2011;19;7,01;13;14,5;3,8;40,77;16,2;3,8;45,55
taille-juillet2012;BL2;E12;4;IL 1;L;N;0;2011;10,6;4,36;8;15,6;3,8;43,87;22,3;6,8;112,21
taille-juillet2012;BL2;E12;5;IL 1;A;N;1;2011;12,6;7,44;5;14,6;3,4;36,73;17,5;4,1;53,1
taille-juillet2012;BL2;E12;6;IL 2;L;S;1;2011;16,5;6,03;5;15;4;44,4;19;5;70,3
taille-juillet2012;BL2;E12;7,1;IL 2;A;S;0;S9;2;4,7;11;10;2,9;21,46;12,5;3,7;34,23
taille-juillet2012;BL2;E12;8;IL 2;L;S;1;2011;9,5;5,21;5;13,7;3,8;38,52;13,8;3,9;39,83
taille-juillet2012;BL2;E12;9;IL 2;A;S;0;2011;8;5;15;12,7;3,3;31,01;15,7;4,1;47,63
taille-juillet2012;BL2;E12;10,1;IL 2;A;S;0;S9;6,3;4,31;11;14,4;3,9;41,56;15,3;4;45,29
taille-juillet2012;BL2;E12;11;R1;L;E;0;S9;10,6;5,1;13;11,4;2,8;23,62;15,3;4,5;50,95
taille-juillet2012;BL2;E12;12;R1;L;E;0;S9;11,7;4;11;9,9;2,4;17,58;11;2,7;21,98
taille-juillet2012;BL2;E12;13;R1;L;E;0;S9;6,6;3,1;5;10,7;3,2;25,34;14,5;3,5;37,56
taille-juillet2012;BL2;E12;14;R1;A;E;1;2011;12,9;6,38;9;16,8;4,1;50,97;15,1;3,8;42,46
taille-juillet2012;BL2;E12;15;R1;L;E;1;2011;15,2;6,27;10;14,8;3,2;35,05;16,2;3,5;41,96
taille-juillet2012;BL2;E12;16;R 2;L;O;0;S9;11,9;4,18;11;11,4;2,7;22,78;17,1;5,2;65,8
taille-juillet2012;BL2;E12;17;R 2;L;O;0;2011;10,5;3,91;4;16,2;3,6;43,16;15,5;4;45,88
taille-juillet2012;BL2;E12;18;R 2;A;O;1;2011;15,8;6,66;6;18,4;4,2;57,19;16;3,5;41,44
taille-juillet2012;BL2;E12;19;R 2;L;O;0;S9;5,2;3,25;10;9,1;2,1;14,14;11,7;4;34,63
taille-juillet2012;BL2;E12;20;R 2;L;O;0;S9;3,3;2,21;6;10,7;2,7;21,38;12,1;3,4;30,44
taille-juillet2012;BL2;E13;1;IL 1;A;N;0;2011;17,9;6,74;14;16,2;6;71,93;15,6;3,8;43,87
taille-juillet2012;BL2;E13;2,1;IL 1;A;N;0;S9;5,6;4,56;13;10,5;2,9;22,53;12,1;3,4;30,44
taille-juillet2012;BL2;E13;3;IL 1;A;N;1;2011;10,5;5,61;3;14,4;4;42,62;14,4;4;42,62
taille-juillet2012;BL2;E13;4;IL 1;A;N;0;2011;12;5,5;7;15,1;3,7;41,34;15,2;3,6;40,49
taille-juillet2012;BL2;E13;5;IL 1;A;N;0;2011;20,8;7,24;16;15,2;3,7;41,62;20,6;4,1;62,5
taille-juillet2012;BL2;E13;6;IL 2;L;S;0;2011;12,8;4,42;3;14,5;3,2;34,34;14,5;3,2;34,34
taille-juillet2012;BL2;E13;7;IL 2;A;S;1;2011;20,9;7,04;4;19,1;4,6;65,02;14,4;3,2;34,1
taille-juillet2012;BL2;E13;8,1;IL 2;A;S;0;S18;3,2;4,33;9;13,5;3,6;35,96;15,2;3,8;42,74
taille-juillet2012;BL2;E13;9;IL 2;A;S;0;S9;5,6;5,34;15;8,6;3,4;21,64;12,9;3,5;33,41
taille-juillet2012;BL2;E13;10;IL 2;A;S;0;2011;5;4,93;12;13,6;3,4;34,22;11,4;3;25,31
taille-juillet2012;BL2;E13;11;R1;L;E;0;2011;6,5;3,94;11;10;2,8;20,72;13,2;3,1;30,28
taille-juillet2012;BL2;E13;12,1;R1;A;E;0;S18;7,3;3,96;8;9;2,5;16,65;14,2;4,3;45,18
taille-juillet2012;BL2;E13;13,1;R1;A;E;0;S18;6;4,44;11;12,9;3,4;32,46;13,1;2,4;23,27
taille-juillet2012;BL2;E13;14,1;R1;A;E;0;S10;10,5;5,53;15;9,9;2,3;16,85;11,6;2,9;24,89
taille-juillet2012;BL2;E13;14,2;R1;L;E;0;S10;10,2;3,55;6;12,5;3,3;30,53;11,9;3,1;27,3
taille-juillet2012;BL2;E13;15;R1;L;E;0;S10;8,6;5,32;18;10;2,9;21,46;14,6;4;43,22
taille-juillet2012;BL2;E13;16;R 2;L;O;1;2011;12,6;6,68;7;15;3,8;42,18;17,1;4,2;53,15
taille-juillet2012;BL2;E13;17;R 2;L;O;1;2011;19,5;6,07;12;12,1;2,6;23,28;17,1;4,2;53,15
taille-juillet2012;BL2;E13;18;R 2;A;O;1;2011;14,8;6;13;10;2,7;19,98;15,6;4;46,18
taille-juillet2012;BL2;E13;19;R 2;A;O;0;S9;4,1;3,87;10;11,8;3,4;29,69;12;3,2;28,42
taille-juillet2012;BL2;E13;20;R 2;A;O;1;2011;8,8;5,94;8;13;4;38,48;13,5;3,9;38,96
taille-juillet2012;BL2;E14;1;IL 1;A;N;1;2011;15,6;7,1;17;11,2;2,9;24,04;17,4;4,3;55,37
taille-juillet2012;BL2;E14;2;IL 1;A;N;1;2011;18,5;6,1;17;11,9;2,8;24,66;17,5;4,2;54,39
taille-juillet2012;BL2;E14;3;IL 1;L;N;0;2011;14,9;5,11;11;11;2,6;21,16;16,6;4,1;50,36
taille-juillet2012;BL2;E14;4;IL 1;L;N;1;2011;15,8;4,9;12;15,2;3,5;39,37;14,7;3,9;42,42
taille-juillet2012;BL2;E14;5;IL 1;L;N;0;S9;2,1;2,46;2;9,5;2,8;19,68;9,5;2,5;17,58
taille-juillet2012;BL2;E14;6;IL 2;A;S;1;2011;15,7;5,77;12;15;3,8;42,18;17,2;3,8;48,37
taille-juillet2012;BL2;E14;7;IL 2;A;S;1;2011;16,5;6,4;18;10,2;2,6;19,62;15;3,7;41,07
taille-juillet2012;BL2;E14;8;IL 2;A;S;1;2011;19,8;6,83;15;15,5;3,5;40,15;24,1;5,3;94,52
taille-juillet2012;BL2;E14;9;IL 2;A;S;1;2011;13;6,39;14;13;3,1;29,82;18;4,2;55,94
taille-juillet2012;BL2;E14;10;IL 2;L;S;0;S9;8;4,88;12;13;5;48,1;19,2;6,1;86,67
taille-juillet2012;BL2;E14;11;R1;A;E;1;2011;20,7;7,12;16;10,7;3;23,75;16;3,6;42,62
taille-juillet2012;BL2;E14;12;R1;L;E;0;S9;7,8;4,14;7;15,5;3,3;37,85;16,1;4,8;57,19
taille-juillet2012;BL2;E14;13;R1;A;E;1;2011;12,4;6,18;17;13,4;3,2;31,73;16,1;3,7;44,08
taille-juillet2012;BL2;E14;14;R1;L;E;0;S9;7,5;3,42;8;10;2,7;19,98;13;3,2;30,78
taille-juillet2012;BL2;E14;15;R1;A;E;1;2011;12,8;6,23;16;12,1;2,9;25,97;15,4;3,9;44,44
taille-juillet2012;BL2;E14;16;R 2;L;O;1;2011;18,3;6,47;13;11,5;3,1;26,38;14;3,5;36,26
taille-juillet2012;BL2;E14;17;R 2;A;O;1;2011;20,4;6,51;10;11,6;3,1;26,61;12,1;2,2;19,7
taille-juillet2012;BL2;E14;18;R 2;L;O;0;2011;19;5,34;10;13,1;2,8;27,14;15,5;3,2;36,7
taille-juillet2012;BL2;E14;19;R 2;A;O;1;2011;21,7;6,19;15;12,2;2,7;24,38;18,3;4;54,17
taille-juillet2012;BL2;E14;20;R 2;A;O;1;2011;13,8;5,46;13;9,2;2;13,62;12,7;3,1;29,13
taille-juillet2012;BL2;E15;1;IL 1;A;N;0;S9;6,2;4,12;15;13,4;3,2;31,73;16,4;3,9;47,33
taille-juillet2012;BL2;E15;2;IL 1;L;N;0;S9;16,5;4,48;7;11,8;2,5;21,83;15,2;3,5;39,37
taille-juillet2012;BL2;E15;3;IL 1;L;N;0;S9;8,2;3,46;10;11,6;2,5;21,46;16,5;4,5;54,95
taille-juillet2012;BL2;E15;4;IL 1;A;N;0;S9;7,5;4,25;12;11,1;2,6;21,36;16;3,8;44,99
taille-juillet2012;BL2;E15;5;IL 1;L;N;0;2011;8,7;4,27;11;12,1;2,8;25,07;16,1;4,1;48,85
taille-juillet2012;BL2;E15;6;IL 2;L;S;1;2011;9;5,62;6;15,7;3,7;42,99;14,6;3,5;37,81
taille-juillet2012;BL2;E15;7;IL 2;L;S;0;S9;4,2;2,72;4;10;3,2;23,68;16,1;4,9;58,38
taille-juillet2012;BL2;E15;8,1;IL 2;L;S;0;S10;3,2;2,78;6;11;2,8;22,79;12,5;3,6;33,3
taille-juillet2012;BL2;E15;9;IL 2;L;S;1;2011;7,9;3,43;3;17,5;4,8;62,16;17,5;4,8;62,16
taille-juillet2012;BL2;E15;10;IL 2;L;S;0;S9;3;2,48;6;10,1;2,7;20,18;11,2;3,1;25,69
taille-juillet2012;BL2;E15;11,1;R1;L;E;0;S10;1,5;1,85;2;7,1;2,3;12,08;7,1;2,3;12,08
taille-juillet2012;BL2;E15;11,2;R1;L;E;0;S10;2;1,95;3;10;3,2;23,68;10;3,2;23,68
taille-juillet2012;BL2;E15;11,3;R1;L;E;0;S10;2,5;2,32;5;9,4;2,4;16,69;9;2,7;17,98
taille-juillet2012;BL2;E15;12;R1;L;E;1;2011;3,7;2,84;6;8,8;2,2;14,33;12,6;3,6;33,57
taille-juillet2012;BL2;E15;13;R1;L;E;0;S9;6,8;3,37;9;11,9;3,1;27,3;10,6;3,2;25,1
taille-juillet2012;BL2;E15;14;R1;A;E;0;S9;4,4;4,39;10;12,2;3,2;28,89;15,7;4,4;51,12
taille-juillet2012;BL2;E15;15;R1;A;E;0;S9;4,7;3,97;11;12,5;3,2;29,6;13,7;3,7;37,51
taille-juillet2012;BL2;E15;16;R 2;L;O;0;S9;6,6;3,4;9;10;2,5;18,5;17;4,5;56,61
taille-juillet2012;BL2;E15;17;R 2;L;O;0;S9;9,2;3,76;8;16,1;4,2;50,04;14,2;3,7;38,88
taille-juillet2012;BL2;E15;18;R 2;A;O;1;2011;9,5;5;12;12,6;3,2;29,84;15,7;3,9;45,31
taille-juillet2012;BL2;E15;19;R 2;L;O;1;2011;20;4,73;7;12,5;3;27,75;16;3,7;43,81
taille-juillet2012;BL2;E15;20;R 2;L;O;0;S9;5,5;3,03;6;11,1;2,5;20,54;14,8;3,4;37,24
taille-juillet2012;BL2;E16;1;IL 1;A;N;1;2011;6,8;4,73;11;11,3;3,2;26,76;16,2;4,2;50,35
taille-juillet2012;BL2;E16;2;IL 1;L;N;1;2011;10,2;4,05;6;10,8;3;23,98;13,6;3,6;36,23
taille-juillet2012;BL2;E16;3;IL 1;L;N;0;S9;8,2;3,96;11;11,1;2,8;23;16,3;4,7;56,69
taille-juillet2012;BL2;E16;4,1;IL 1;L;N;0;S20;4,6;3,11;5;13,1;3,4;32,96;14,8;3,8;41,62
taille-juillet2012;BL2;E16;5;IL 1;L;N;0;S9;9,2;4,26;8;10,4;2,6;20,01;11,5;2,9;24,68
taille-juillet2012;BL2;E16;6;IL 2;L;S;1;2011;10,2;5,43;6;14,8;3,7;40,52;22,9;5,7;96,59
taille-juillet2012;BL2;E16;7;IL 2;L;S;0;S9;6,8;3,75;11;9,6;2,4;17,05;10;2,9;21,46
taille-juillet2012;BL2;E16;8;IL 2;L;S;0;S9;5,7;3,77;9;8,6;2,9;18,46;12,6;3,4;31,7
