"Flowering_Week","Nb_Inflorescences","Position_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"1","1","0","0",0.0606318706979296,0.12647899657542,0.117833284013956,0.272873011656254,0.264544339417165,0.105441573699841,0.0366083363052836,0.0102934129036901,0.00529517473046026
"3","1","0","0",0.00334108082534045,0.00847250795692183,0.0104651671404118,0.0440866958861467,0.150874678019622,0.268112990295173,0.280990189308764,0.140688707259214,0.0929679833084056
"4","1","0","0",0.020882649868159,0.0498007004153183,0.0559334039972171,0.184795089621755,0.327018708934519,0.218714466138472,0.0971235255858091,0.0298766997214964,0.0158547557172543
"5","1","0","0",0.00658788290287809,0.0165150840270085,0.0200294428611558,0.080149935434991,0.231147844723092,0.296605861189722,0.215419685020476,0.0842840311484591,0.0492602326922188
"6","1","0","0",0.00360247688689674,0.00912690523408621,0.0112567386964785,0.0472192840927719,0.159162842245896,0.273877975286168,0.275358939891888,0.133607826255409,0.086787011410406
"7","1","0","0",0.00161852239743024,0.00412953629169844,0.0051512304044879,0.0223336506582434,0.0850981350969363,0.19488813761304,0.30009614913769,0.211802648729802,0.174881989670672
"8","1","0","0",0.00113578584294843,0.00290285315528727,0.00363111939474281,0.0158735610401693,0.0624944826115737,0.156322200471587,0.284264175259439,0.241320655208021,0.232055167016231
"9","1","0","0",0.00299618475016511,0.00760720523326605,0.00941481971792341,0.0398874589564239,0.139322827150752,0.258893617139417,0.288083497870743,0.151190540619488,0.102603848561822
"1","2","0","0",0.065114239413971,0.133848845233689,0.122346962881346,0.274954523890528,0.255941637282019,0.0992362121775522,0.0340948286939111,0.00955371042327269,0.00490904000371151
"3","2","0","0",0.00360432991560743,0.00913153989097852,0.0112623363751772,0.0472413389071349,0.159220219338685,0.273915474368061,0.275318588184886,0.133560056705214,0.0867461163142556
"4","2","0","0",0.0224968294409584,0.053351971567318,0.0594259493041974,0.192686317225624,0.327846038251651,0.210406005356028,0.0912642086991422,0.0278126975558975,0.0147099825991841
"5","2","0","0",0.00710512897798412,0.0177792809146286,0.0215005566062655,0.0853617631780585,0.240283652270484,0.296091336159785,0.206897265593787,0.0791652701259655,0.0458157461730422
"6","2","0","0",0.00388624148139646,0.00983592439411266,0.0121116960110773,0.0505720081679877,0.167731726719996,0.279118357758178,0.269147246647099,0.126654908190677,0.080941890629476
"7","2","0","0",0.00174628616607629,0.0044534915134195,0.00555126231866385,0.0240158545545246,0.0907376699043295,0.203313914878492,0.301383196128293,0.204628041713949,0.164170282822252
"8","2","0","0",0.00122548987549194,0.00313111968523283,0.00391463086188358,0.0170865956538152,0.0668561589250664,0.164393138050089,0.288942039071807,0.235680794318399,0.218770033558215
"9","2","0","0",0.00323234706145631,0.00819993735605951,0.0101347574987959,0.0427709861032439,0.147310406588189,0.265417864458217,0.283280620101758,0.143847862677088,0.0958052181551922
"1","3","0","0",0.227231178790552,0.284636923034282,0.154657219229724,0.195259485503232,0.0987579017334275,0.0275131455806362,0.00848020928503512,0.00229678944687839,0.00116714739623325
"3","3","0","0",0.0150421956670497,0.0366071815660992,0.042395619418886,0.150571533690532,0.313754137187436,0.252820767591663,0.126079770253767,0.0407251389223869,0.0220036557021805
"4","3","0","0",0.088558981617218,0.168776322259902,0.140418073968523,0.275480410561572,0.216196360288893,0.0752772627167603,0.0248826882181495,0.00688607730670487,0.00352382306227739
"5","3","0","0",0.0293253556011666,0.0679347597411773,0.0731087084655308,0.220102125464331,0.323909053567734,0.180347889714441,0.0725474003332099,0.0214794293743226,0.0112452777380867
"6","3","0","0",0.0162041675805169,0.0392757119026146,0.0452060107560196,0.158166057062409,0.318067898219723,0.245577551100622,0.119073837941769,0.0379943145149479,0.0204344509213781
"7","3","0","0",0.00733127853358069,0.0183305527698384,0.0221393343401038,0.0875979356675885,0.244033918538055,0.295649324826219,0.203347498958908,0.0771145337950979,0.0444556225706084
