"Burst_Month","Position_A","11","12","1","2","3"
"9-10","0",0.0562431682046538,0.224972665879727,0.617264328300355,0.101519837608939,6.32494057128952e-12
"11","0",0.0253884034110581,0.120651918422527,0.648561032744553,0.205398645407392,1.44699807691495e-11
"12","0",8.31895736496391e-12,4.62946041518811e-11,1.18081264067341e-09,0.956653334639389,0.0433466641251852
"9-10","1",0.0756859749387304,0.27393317508955,0.574394657380982,0.0759861925861345,4.60342874930575e-12
"11","1",0.0345555111983606,0.155711482900743,0.651390513331225,0.158342492559139,1.05313535669893e-11
"12","1",1.1430233359691e-11,6.36087078614341e-11,1.62243457183035e-09,0.968075497096164,0.0319245012063628
