"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8","0","0",3.03901843808119,39
"9","0","0",2.56634921573925,12
"10-11","0","0",1.52317401110347,36
"12","0","0",0.949699707205055,0
"1","0","0",0.599373469614454,1
"2","0","0",8.1078353344735e-09,2
"8","1","0",3.78418317657236,45
"9","1","0",3.19561586258158,20
"10-11","1","0",1.89665498424856,57
"12","1","0",1.18256526836678,8
"1","1","0",0.746339335022562,6
"2","1","0",1.00958696685321e-08,4
"8","0","1",4.4157693140526,15
"9","0","1",3.72896918755107,8
"10-11","0","1",2.21320969096845,29
"12","0","1",1.37993727582931,1
"1","0","1",0.870904546552156,9
"2","0","1",1.17808862311361e-08,9
"8","1","1",5.49851219738335,0
"9","1","1",4.64330926349926,0
"10-11","1","1",2.75588682643128,7
"12","1","1",1.71829672320628,3
"1","1","1",1.0844496012811,1
"2","1","1",1.46695495237358e-08,0
"8","0","2",5.70764260832778,7
"9","0","2",4.81991288636288,3
"10-11","0","2",2.86070422499997,3
"12","0","2",1.78365042016082,1
"1","0","2",1.12569555702752,0
"2","0","2",1.52274911650635e-08,2
"8","1","2",7.10715172559428,0
"9","1","2",6.0017514301871,0
"10-11","1","2",3.56214646997319,0
"12","1","2",2.22099998745663,1
"1","1","2",1.40171515100626,0
"2","1","2",1.89612590585731e-08,0
