"Burst_Month","Position_A","11","12","1","2","3","4"
"9-10","0",0.163405304780639,0.825192126119298,0.0111981333710043,0.00019678150630309,2.55141441563023e-06,5.10280833909693e-06
"11","0",0.000128076976853753,0.0536711121932309,0.708514711610664,0.226149196469415,0.00381597206270978,0.00772093068712654
"12","0",4.97698213432239e-06,0.00219934778524677,0.108602775697569,0.658192252141883,0.0641534442653204,0.166847203127847
"9-10","1",0.145653925149279,0.841304063240016,0.0128078010109675,0.000225441332735721,2.92309465332874e-06,5.84617234833384e-06
"11","1",0.000111793218606712,0.0471700268853622,0.689519806585111,0.25000297157976,0.00435963734145006,0.00883576438971079
"12","1",4.3441386292657e-06,0.00192022999750598,0.0961750802329216,0.645863998849836,0.0694190522257712,0.186617294555336
