"Burst_Month","Position_A","1","2","3","4","5","6","7","8","9","10","11","12"
"8","0",0.0498589234664376,0.00655281906852887,0.0319174471841944,0.190707067514588,0.470788662075569,0.0892780750129037,0.083048403819787,0.0478635527014138,0.0150912171255816,0.0103302090310625,0.00244332583637286,0.0021202971635611
"1","0",0.0106619165847395,0.00146702762959411,0.00738052044787114,0.054122521381378,0.307377378392175,0.136139925967679,0.191534173560346,0.160489684978005,0.0622563016947671,0.0467345940118544,0.0115956581533229,0.0102402971982692
"2-3","0",0.0178499219051179,0.00243578256429617,0.0121808242145117,0.0857343096184224,0.391134761319002,0.134313323079285,0.160371068198365,0.114040393405706,0.0401119730163717,0.0287634820589037,0.00696656495198356,0.00609759566803469
"8","1",0.0543577925726043,0.0071058439846104,0.0344851308514748,0.201785514087626,0.468794856556664,0.08450127578073,0.0774169383737784,0.0441078252800814,0.0138306862765014,0.00944638032366685,0.00223179408328167,0.00193596182898104
"1","1",0.0116673932971742,0.00160352051279111,0.00806040939535103,0.0587637952057797,0.322628485076022,0.137131853585506,0.187279591430902,0.152057328301199,0.0578339133800194,0.0430018329222251,0.0106152359279237,0.0093566409651068
"2-3","1",0.019519892099059,0.00265851910815802,0.0132761969167678,0.0925807473956171,0.404041386442953,0.132191534019527,0.153715721099091,0.106676168196254,0.0370160437165022,0.0263840240335129,0.00637035689600973,0.0055694100765471
