"Burst_Month","Position_A","Nature_Ancestor_F","11","12","1","2","3","4"
"9-10","0","0",0.15993030134829,0.802038001801005,0.036707852569779,0.00130196916227876,8.34597138388293e-06,1.35291472629362e-05
"11","0","0",0.000790704947840197,0.0943445096540222,0.663065988118628,0.236563543393075,0.00199094297350233,0.0032443109129322
"12","0","0",1.97273766609172e-05,0.00259448402340055,0.0698898388189263,0.753188544380714,0.0588239449157595,0.115483460484539
"9-10","1","0",0.139555770328489,0.816096128349579,0.0427945437202188,0.0015278809062671,9.79635653763911e-06,1.5880338908536e-05
"11","1","0",0.000673713017474805,0.0815338416406834,0.645417262768811,0.266235680430385,0.00233350872769622,0.0038059934149498
"12","1","0",1.68066146141751e-05,0.00221121022880149,0.0602114518245226,0.738975957099439,0.0656982654154429,0.13288630881718
"9-10","0","1",0.181743581819605,0.785480284827695,0.0316412144564953,0.00111616905699763,7.1536034377262e-06,1.15962357698507e-05
"11","0","1",0.000922383333323578,0.108337975466968,0.676071088265066,0.210177910438103,0.00170856264075447,0.00278207985578527
"12","0","1",2.30155912248345e-05,0.00302562148230649,0.0805307747008716,0.763201079393654,0.0525748103331334,0.100644698498809
"9-10","1","1",0.159116472944148,0.802629136318519,0.0369224971128507,0.00130988532453868,8.39678309294545e-06,1.36115168508644e-05
"11","1","1",0.000785923722164245,0.0938280465610933,0.662472675902848,0.237646393546675,0.00200296120053745,0.00326399906668162
"12","1","1",1.96079979007171e-05,0.00257882449235084,0.0694984895838655,0.752720334173988,0.0590778093897942,0.116104934362101
"9-10","0","2",0.0694371953621709,0.838936831077542,0.088255314349813,0.0033148501600152,2.12922713629382e-05,3.45167790953838e-05
"11","0","2",0.000310066149469518,0.0392676639693182,0.511796004947803,0.435376940080427,0.00501342453004261,0.00823590032293942
"12","0","2",7.73224474652676e-06,0.00101854013541029,0.0287023319032138,0.620212872771864,0.100186277476278,0.249872245468488
"9-10","1","2",0.0597709014158576,0.834365198921221,0.101909770242275,0.00388862195693551,2.49922604895758e-05,4.05152032219025e-05
"11","1","2",0.000264170264104537,0.0336524755708941,0.477577569028338,0.47298958917735,0.00586279651087096,0.00965339944844279
"12","1","2",6.58742563679473e-06,0.000867869200091082,0.0245645388446232,0.58722977728633,0.106240167316396,0.281091059926923
