"Position_A","Nature_Ancestor_F","probability","number"
"0","0",0.997597000476937,90
"1","0",0.987259071121969,140
"0","1",0.999999999712005,71
"1","1",0.999999998457034,11
"0","2",0.951016872317228,16
"1","2",0.783730042924336,1
