"Burst_Month","Position_A","probability","number"
"8-9","0",0.153086925123067,83
"10-11-12-1","0",0.427808453025677,80
"2","0",0.0822391527486874,13
"8-9","1",0.37959039398117,64
"10-11-12-1","1",0.7167722409505,82
"2","1",0.232722758287038,4
