"Position_A","Nature_Ancestor_F","probability","number"
"0","0",0.749740141087005,268
"1","0",0.92241656170575,244
"0","1",0.553724811615602,97
"1","1",0.831198918078064,99
"0","2",0.535833543820726,10
"1","2",0.820832275446498,2
