"Position_A","Nature_F","probability","number"
"0","0",0.575000725293753,121
"1","0",0.724402672367744,42
"0","1",0.508902793871832,200
"1","1",0.668129608170777,150
"0","2",0.556943022892015,64
"1","2",0.709485649602823,164
