"Nb_Inflorescences","Position_A","probability","number"
"1","0",0.2400299277142,246
"2","0",0.47704099952658,6
"3","0",0.345598294747599,2
"4","0",0.399195195781291,1
"5","0",0.775837603430314,0
"6","0",0.754690940150007,0
"1","1",0.45094250131365,215
"2","1",0.703443850070817,40
"3","1",0.578643626543716,23
"4","1",0.633400400351568,12
"5","1",0.899999998471908,10
"6","1",0.888888888740975,9
