"Position_A","Nature_F","probability","number"
"0","0",0.833858407743196,69
"1","0",1.78915387617655,31
"0","1",1.5321458612698,106
"1","1",3.28742227829516,96
"0","2",1.68925964886432,32
"1","2",3.62453076034106,120
