"Position_Ancestor_A","Nb_Inflorescences","probability","number"
"0","1",6.33044547002483,90
"1","1",6.19507805077475,191
"0","2",6.29702936904096,4
"1","2",6.1623765047733,5
"0","3",5.03589511080466,2
"1","3",4.92820977839138,1
"0","5",6.13110480753326,0
"1","5",5.99999999999998,2
