"Position_Ancestor_A","Nb_Inflorescences","probability","number"
"0","1",0.335781590291121,173
"1","1",0.339964530832121,288
"0","2",0.671499943228038,19
"1","2",0.675611151061632,27
"0","3",0.556311859281067,5
"1","3",0.560922035179737,20
"0","4",0.613683355548665,8
"1","4",0.618106631122144,5
"0","5",0.898647719483348,2
"1","5",0.900338068217719,8
"0","6",0.887654791673353,3
"1","6",0.889505937274481,6
