"burst_date_mother","position_mother_L","probas"
"1","0",0.0630817945294883
"2","0",0.950194217749042
"3","0",0.0165911327941241
"4","0",1.3449006960142e-08
"5","0",0.480668849285649
"9","0",0.85009899968015
"10","0",0.838886702293334
"11","0",0.862734310107298
"12","0",0.799064337739905
"1","1",0.0248797139272233
"2","1",0.87848819239326
"3","1",0.00635270957784795
"4","1",5.09653547321602e-09
"5","1",0.259665575357168
"9","1",0.682445550175915
"10","1",0.663654669942596
"11","1",0.704296901307855
"12","1",0.601114831629052
"6","0",0
"7","0",0
"8","0",0
"6","1",0
"7","1",0
"8","1",0
