"Burst_Month","Nature_Ancestor_F","10","11","12","1","2","3","4"
"8-9-10","0",0.00633415540589493,0.403916314153532,0.0577563868511974,0.197240340999699,0.233090590520951,0.101662212068725,0
"11","0",0.0, 0.0, 0.04509979278898159, 0.2038027162469942, 0.4273288609328632, 0.3237686300311611,0
"12-1-2","0",0.0, 0.0, 0.0, 0.026461806130716158, 0.13690791019664597, 0.8366302836726379,0
"8-9-10","1",0.00136552384952182,0.128478761864574,0.0289063003604622,0.140128794064276,0.355757492504317,0.345363127356849,0
"11","1",0.,0.0, 0.020145621094089364, 0.10592448620660137, 0.35015241473432607, 0.5237774779649832,0
"12-1-2","1",0.0, 0.0, 0.0, 0.03757849546369034, 0.18148155963116858, 0.7809399449051411,0
"8-9-10","2",0.000152298052549753,0.0161983117670193,0.0042378352893769,0.0247453946643255,0.12900498740763,0.825661172819098,0
"11","2",0,0,0,0,0,1,0
"12-1-2","2",0.0, 0.0, 0.0, 0.03581517188608521, 0.17482961412213532, 0.7893552139917794,0
