DATE;HOUR;GR;PAR;T;RH;DATETIME
19/10/2001;1;0;0;18.8;94;19/10/2001 01:00
19/10/2001;2;0;0;18.5;94;19/10/2001 02:00
19/10/2001;3;0;0;18.5;94;19/10/2001 03:00
19/10/2001;4;0;0;18.6;93;19/10/2001 04:00
19/10/2001;5;0;0;18.5;91;19/10/2001 05:00
19/10/2001;6;0;0;18.6;90;19/10/2001 06:00
19/10/2001;7;42;268.38;21.7;83;19/10/2001 07:00
19/10/2001;8;130;830.7;23.8;73;19/10/2001 08:00
19/10/2001;9;214;1367.46;25.2;67;19/10/2001 09:00
19/10/2001;10;292;1865.88;26.6;65;19/10/2001 10:00
19/10/2001;11;348;2223.72;26.1;64;19/10/2001 11:00
19/10/2001;12;374;2389.86;26.9;62;19/10/2001 12:00
19/10/2001;13;372;2377.08;27.9;62;19/10/2001 13:00
19/10/2001;14;348;2223.72;27.4;57;19/10/2001 14:00
19/10/2001;15;276;1763.64;26.7;60;19/10/2001 15:00
19/10/2001;16;152;971.28;24.9;66;19/10/2001 16:00
19/10/2001;17;70;447.3;24.4;68;19/10/2001 17:00
19/10/2001;18;26;166.14;23.6;72;19/10/2001 18:00
19/10/2001;19;2;12.78;22.3;78;19/10/2001 19:00
19/10/2001;20;0;0;20.2;85;19/10/2001 20:00
19/10/2001;21;0;0;20.1;88;19/10/2001 21:00
19/10/2001;22;0;0;21.1;78;19/10/2001 22:00
19/10/2001;23;0;0;19.6;85;19/10/2001 23:00
19/10/2001;24;0;0;19.6;87;20/10/2001 00:00
20/10/2001;1;0;0;19.5;85;20/10/2001 01:00
20/10/2001;2;0;0;18.8;78;20/10/2001 02:00
20/10/2001;3;0;0;19.1;76;20/10/2001 03:00
20/10/2001;4;0;0;18.3;81;20/10/2001 04:00
20/10/2001;5;0;0;18.8;73;20/10/2001 05:00
20/10/2001;6;2;12.78;18.4;78;20/10/2001 06:00
20/10/2001;7;42;268.38;22.4;73;20/10/2001 07:00
20/10/2001;8;130;830.7;24.8;65;20/10/2001 08:00
20/10/2001;9;216;1380.24;25.9;63;20/10/2001 09:00
20/10/2001;10;294;1878.66;25.7;62;20/10/2001 10:00
20/10/2001;11;312;1993.68;26.3;53;20/10/2001 11:00
20/10/2001;12;264;1686.96;27.5;54;20/10/2001 12:00
20/10/2001;13;282;1801.98;27.2;64;20/10/2001 13:00
20/10/2001;14;206;1316.34;26.2;63;20/10/2001 14:00
20/10/2001;15;94;600.66;25.7;68;20/10/2001 15:00
20/10/2001;16;90;575.1;24.3;72;20/10/2001 16:00
20/10/2001;17;138;881.82;25.8;67;20/10/2001 17:00
20/10/2001;18;76;485.64;24;73;20/10/2001 18:00
20/10/2001;19;2;12.78;22.2;78;20/10/2001 19:00
20/10/2001;20;0;0;20.8;88;20/10/2001 20:00
20/10/2001;21;0;0;20.7;89;20/10/2001 21:00
20/10/2001;22;0;0;21.5;86;20/10/2001 22:00
20/10/2001;23;0;0;21.8;84;20/10/2001 23:00
20/10/2001;24;0;0;21.3;86;21/10/2001 00:00
21/10/2001;1;0;0;19.3;84;21/10/2001 01:00
21/10/2001;2;0;0;19;85;21/10/2001 02:00
21/10/2001;3;0;0;18.1;87;21/10/2001 03:00
21/10/2001;4;0;0;19.5;88;21/10/2001 04:00
21/10/2001;5;0;0;18.9;90;21/10/2001 05:00
21/10/2001;6;2;12.78;18.4;89;21/10/2001 06:00
21/10/2001;7;46;293.94;22.8;77;21/10/2001 07:00
21/10/2001;8;122;779.58;24.7;65;21/10/2001 08:00
21/10/2001;9;168;1073.52;24.7;55;21/10/2001 09:00
21/10/2001;10;132;843.48;24.6;59;21/10/2001 10:00
21/10/2001;11;362;2313.18;27.2;41;21/10/2001 11:00
21/10/2001;12;380;2428.2;27.8;46;21/10/2001 12:00
21/10/2001;13;384;2453.76;27.3;49;21/10/2001 13:00
21/10/2001;14;352;2249.28;27;52;21/10/2001 14:00
21/10/2001;15;296;1891.44;28.2;50;21/10/2001 15:00
21/10/2001;16;226;1444.14;26.4;56;21/10/2001 16:00
21/10/2001;17;142;907.38;26.3;56;21/10/2001 17:00
21/10/2001;18;50;319.5;24.1;65;21/10/2001 18:00
21/10/2001;19;2;12.78;21.5;78;21/10/2001 19:00
21/10/2001;20;0;0;20.3;84;21/10/2001 20:00
21/10/2001;21;0;0;20.2;87;21/10/2001 21:00
21/10/2001;22;0;0;20.5;87;21/10/2001 22:00
21/10/2001;23;0;0;19.9;87;21/10/2001 23:00
21/10/2001;24;0;0;19.2;81;22/10/2001 00:00
22/10/2001;1;0;0;18.7;81;22/10/2001 01:00
22/10/2001;2;0;0;18.5;84;22/10/2001 02:00
22/10/2001;3;0;0;19.3;81;22/10/2001 03:00
22/10/2001;4;0;0;19.5;82;22/10/2001 04:00
22/10/2001;5;0;0;19.7;82;22/10/2001 05:00
22/10/2001;6;2;12.78;19.6;86;22/10/2001 06:00
22/10/2001;7;40;255.6;22.1;78;22/10/2001 07:00
22/10/2001;8;96;613.44;23.7;70;22/10/2001 08:00
22/10/2001;9;90;575.1;24.3;67;22/10/2001 09:00
