"Position_A","Nb_Inflorescences","probability","number"
"0","1",0.239837398374032,246
"1","1",0.451162790697722,215
"0","2",0.666666666666647,6
"1","2",0.674999999999972,40
"0","3",4.72103094440517e-07,2
"1","3",0.608695652173884,23
"0","4",4.72103304496571e-07,1
"1","4",0.666666666666625,12
"0","5",1,0
"1","5",0.900000000000011,10
"0","6",1,0
"1","6",0.888888888888946,9
