"Burst_Month","Nature_F","probability","number"
"9-10","0",0.183397584783634,46
"12","0",0.563560096721152,24
"1-2-3-4-5","0",0.839121169663604,93
"9-10","1",0.0929545439040819,34
"12","1",0.370758846837418,71
"1-2-3-4-5","1",0.704145581150304,245
"9-10","2",0.100814151843906,4
"12","2",0.391957404943083,31
"1-2-3-4-5","2",0.722518465488827,193
