"Burst_Month","Nature_Ancestor_F","probability","number"
"8-9-10-11","0",1.92927718096393e-08,32
"1","0",0.572078688613658,50
"2","0",0.135123886154842,97
"3","0",0.0601028251397529,88
"8-9-10-11","1",5.63367521450893e-09,8
"1","1",0.167052487874306,2
"2","1",0.0394574763973684,192
"3","1",0.017550603907657,347
"8-9-10-11","2",2.08955798688444e-09,11
"1","2",0.0619605935691305,1
"2","2",0.0146349730520651,90
"3","2",0.00650960574998047,250
