"Nb_Inflorescences","Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"3","1-2","1","2",0.273568643809229,0
"4","1-2","1","2",0.394821166414346,0
"5","1-2","1","2",0.797041136465895,0
"6","1-2","1","2",0.770601063365017,0
"1","3-4-5","1","2",0.124124300394536,0
"2","3-4-5","1","2",0.336495700452011,0
"3","3-4-5","1","2",0.226565826169338,0
"4","3-4-5","1","2",0.336639779407735,0
"5","3-4-5","1","2",0.753374109879908,0
"6","3-4-5","1","2",0.723220826123361,0
