"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"12","0","0",381.610723951321,18.8996670365773,9
"1","0","0",373.877815596505,17.1536983596893,5
"2","0","0",406.542423910706,12.3846948148862,36
"3","0","0",391.159233313209,31.4817477867301,0
"4","0","0",421.920168395788,25.2184157184947,5
"12","1","0",382.018658611272,17.2468357363157,19
"1","1","0",374.285750256456,14.6960656716552,27
"2","1","0",406.950358570657,10.5360566943823,50
"3","1","0",391.56716797316,29.0815013631052,8
"4","1","0",422.328103055739,24.0046749649478,9
"12","0","1",373.645518081998,22.6509350888421,1
"1","0","1",365.912609727182,18.765741481423,9
"2","0","1",398.577218041383,14.6246384713044,15
"3","0","1",383.194027443886,32.8221632647277,1
"4","0","1",413.954962526465,28.139579557205,0
"12","1","1",374.053452741949,22.4241961486668,1
"1","1","1",366.320544387133,17.983376097134,4
"2","1","1",398.985152701334,14.8671335205782,21
"3","1","1",383.601962103837,31.3281257481903,1
"4","1","1",414.362897186416,27.9573899026933,1
"12","0","2",337.592065340049,92.371314673526,0
"1","0","2",329.859156985233,95.0089466751997,0
"2","0","2",362.523765299434,94.2021054847626,0
"3","0","2",347.140574701937,98.7309523050763,0
"4","0","2",377.901509784516,96.792422256536,0
"12","1","2",338,91.4501630273017,1
"1","1","2",330.267091645184,94.0151133676063,0
"2","1","2",362.931699959385,93.3920827327148,0
"3","1","2",347.548509361888,97.431262104495,0
"4","1","2",378.309444444467,95.9137401496369,0
