"Nb_Inflorescences","Burst_Month","Nature_Ancestor_F","probability","number"
"1","8","0",8.89274846355494e-08,5
"2","8","0",2.85224755664631e-07,0
"3","8","0",3.07170966664558e-07,0
"5","8","0",8.66282772864931e-08,0
"1","1","0",0.342180357350103,10
"2","1","0",1.0975044354218,2
"3","1","0",1.18195034495373,1
"5","1","0",0.333333333333329,3
"1","2","0",0.331423260376997,27
"2","2","0",1.06300227483118,2
"3","2","0",1.14479346494891,1
"5","2","0",0.322854359558201,0
"1","3","0",0.317956315162281,28
"2","3","0",1.01980858534184,4
"3","3","0",1.09827629878171,0
"5","3","0",0.309735600278732,0
"1","8","1",5.22984986670422e-08,0
"2","8","1",1.67741464464756e-07,0
"3","8","1",1.80648091605174e-07,0
"5","8","1",5.09463284918408e-08,0
"1","1","1",0.201237210701544,1
"2","1","1",0.645445381573679,0
"3","1","1",0.69510825357768,0
"5","1","1",0.19603425150794,0
"1","2","1",0.19491093234098,51
"2","2","1",0.625154565893315,0
"3","2","1",0.673256190097334,1
"5","2","1",0.189871538166205,0
"1","3","1",0.186990984765184,78
"2","3","1",0.599752238126585,1
"3","3","1",0.645899316541761,0
"5","3","1",0.182156359698014,0
"1","8","2",5.90980539891067e-08,1
"2","8","2",1.89550261973335e-07,0
"3","8","2",2.04134935855043e-07,0
"5","8","2",5.75700822871796e-08,0
"1","1","2",0.227400935892482,0
"2","1","2",0.729362543466264,0
"3","1","2",0.785482301504292,0
"5","1","2",0.221521517340062,0
"1","2","2",0.220252150561512,28
"2","2","2",0.706433630569634,0
"3","2","2",0.760789156189421,0
"5","2","2",0.214557562827563,0
"1","3","2",0.211302496147813,56
"2","3","2",0.677728635664048,0
"3","3","2",0.729875496494266,0
"5","3","2",0.205839300443942,0
