"Flowering_Week","Nb_Inflorescences","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"1","1","0","0",0.0587515760423637,0.123302086872497,0.115752436274063,0.2711484208248,0.268276095141614,0.108639613516755,0.0379537428201095,0.0106688190117157,0.00550720949608152
"3","1","0","0",0.002984738475256,0.00757741193209339,0.0093730472490817,0.0396016014652918,0.138342850269832,0.258073878732581,0.288748300028391,0.151787342620666,0.103510829226807
"4","1","0","0",0.0199289397543823,0.0476770904512071,0.0537842485820159,0.179307748804359,0.325561248018163,0.224320811803646,0.101373716706546,0.0313315129384337,0.0167146829412471
"5","1","0","0",0.00628699326135893,0.0157753948534099,0.0191534511056676,0.0767860289816598,0.224692254128456,0.296448464779572,0.221284313679011,0.0877693230015693,0.0518037762092961
"6","1","0","0",0.00338283153872195,0.00857593604312044,0.0105841934790549,0.0444279760110351,0.151602466362063,0.268668503860657,0.280597643820283,0.139738099560558,0.0924223493245067
"7","1","0","0",0.00155804703535316,0.00397554593154386,0.00495793006019007,0.0214530554717964,0.0819958350319031,0.190095397972248,0.29921836878711,0.215406696778382,0.181339122931473
"8","1","0","0",0.00109514866163313,0.00279901133311613,0.00349996979523472,0.0152645403135074,0.0602007664537755,0.15198438890842,0.281659247601215,0.243791379465696,0.239705547467403
"9","1","0","0",0.00283327469295012,0.00719675630089687,0.00890987379279772,0.037738778235303,0.13304132667262,0.253309806679966,0.291615583115204,0.156895592157198,0.108459008353063
"1","2","0","0",0.0580568222574862,0.122123120816239,0.114991013803182,0.270682572018161,0.269648092533409,0.109718114626476,0.0384019459119285,0.0108014817703587,0.0055768362627604
"3","2","0","0",0.00294737811468958,0.0074835567885868,0.00925892141050349,0.0391434839360385,0.137048713498629,0.256939369024186,0.289471076008086,0.153018433860883,0.104689067358397
"4","2","0","0",0.019683673880589,0.0471303286740059,0.0532352756834859,0.17799887920452,0.325249430427503,0.225669728017862,0.10240534514921,0.0317037462207898,0.0169235927420345
"5","2","0","0",0.00620855554455142,0.0155828941026925,0.0189280299251692,0.0759738483697905,0.223160696355498,0.296369665172663,0.222679091433701,0.0886693530680956,0.052427866027839
"6","2","0","0",0.00334050489089727,0.00846990386231153,0.0104558465090181,0.0439195663402323,0.150237447763504,0.267662844649702,0.281493730134493,0.140932623630386,0.0934875322194556
"7","2","0","0",0.00153851720029595,0.00392598592541856,0.00489667262589845,0.021195021473626,0.0811149607158194,0.188698045658599,0.29885735945342,0.21655123374717,0.183222203199752
"8","2","0","0",0.0010814148886203,0.00276404530311276,0.00345652053600213,0.015078595814856,0.0595238309838859,0.150676867691718,0.280766222419325,0.244636955949896,0.242015546412584
"9","2","0","0",0.00279780490407556,0.00710755502185007,0.0088012187328273,0.0373004045504404,0.13177851830325,0.252129201737166,0.292260593078792,0.158138024595581,0.109686679076017
"1","3","0","0",0.197471474099897,0.269880202084561,0.15838005238793,0.213065065443103,0.114203821339643,0.0326901406434312,0.0101557053389335,0.00275075183978468,0.00140278682271644
"3","3","0","0",0.0116637401912197,0.0287185292478931,0.0338505830464346,0.12548446524653,0.293312188622844,0.274617469010701,0.152347178604516,0.0515497994800057,0.0284560465498547
"4","3","0","0",0.0742108405166793,0.148084082370142,0.130308715622666,0.276352149457195,0.23956217438158,0.0888210981898704,0.0300197049143709,0.0083476377502103,0.00429359679728591
"5","3","0","0",0.024333908063712,0.0573371657021047,0.0632347600920971,0.20039188146694,0.327398405374893,0.202024748253751,0.0857564650486093,0.0258530293928098,0.013669636605083
"6","3","0","0",0.0132040750594554,0.0323363946856591,0.037798949316543,0.137210990112373,0.303859307250682,0.264883840448648,0.13947120884954,0.046053352929309,0.0251818813477899
"7","3","0","0",0.006113965194473,0.0153506089692182,0.0186557510983767,0.0749900979435171,0.221286432765909,0.296244052170922,0.224379358982067,0.0897790995113047,0.0532006333642129
"8","3","0","0",0.00430332988599637,0.0108739861839401,0.0133505449890793,0.0552125900293994,0.178878773680181,0.284876296902497,0.260610794925693,0.117838930125747,0.0740547532774668
"9","3","0","0",0.0110767441626512,0.0273293878515206,0.0323161604408796,0.120777699805517,0.288482053759966,0.278218864106896,0.15786348378495,0.0539994522719689,0.0299361538156507
"1","5","0","0",0.289950147806906,0.302901774263741,0.142217275262743,0.16114496132914,0.0749262347916851,0.0201879330340671,0.00616472653028033,0.0016611945334124,0.000845752448025427
"3","5","0","0",0.0192088016237676,0.046069013821143,0.0521653313146298,0.17542078970816,0.324568247074251,0.228313906092253,0.104461347940867,0.0324495924767513,0.0173429699481766
"4","5","0","0",0.11740994681506,0.204328224649073,0.153016551860504,0.262991418134014,0.178658123715125,0.0574460627203502,0.018493948091272,0.00506409779535344,0.00259162621924891
"5","5","0","0",0.0397454684179714,0.0888641285158127,0.0908907632439598,0.247242183343814,0.306542070130297,0.147270081059036,0.0552499834048614,0.0159133798866794,0.00828194199756771
"6","5","0","0",0.0217236498960003,0.0516492349894878,0.057727015919786,0.188433995043059,0.327097254721823,0.214799005987599,0.0943948094564706,0.0288477264567225,0.0153273075290521
