"Burst_Month","Nature_F","probability","number"
"10","0",0.999999998634276,4
"12","0",0.249999999999998,5
"1","0",0.333333333333332,4
"2","0",0.6,5
"3-4-5","0",0.476322527120622,1
"10","1",1,6
"12","1",0.999999998933146,9
"1","1",0.999999999288764,5
"2","1",0.999999999762921,20
"3-4-5","1",0.999999999609027,3
"10","2",1,1
"12","2",0.999999998487258,0
"1","2",0.999999998991505,4
"2","2",0.999999999663835,17
"3-4-5","2",0.999999999445622,3
