"Burst_Month","Nature_Ancestor_F","probability","number"
"10","0",0.0308842353789419,32
"12","0",0.843038044377705,72
"1-2-3-4-5","0",0.419251681246696,322
"10","1",0.0117044678738654,1
"12","1",0.319493475742421,28
"1-2-3-4-5","1",0.158887463911828,107
"10","2",1.49571909492751e-08,0
"12","2",4.0828211715607e-07,1
"1-2-3-4-5","2",2.03042988607941e-07,6
